"Date","Commercial Banks & NFIs – Credit to the Private Sector (TT$Mn)","Currency in Active Circulation (TT$Mn)","Commercial Bank Reserves with Central Bank (TT$Mn)","Demand Deposits (Adj.) (TT$Mn)","Saving Deposits (Adj.) (TT$Mn)","Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Time Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Demand Deposits (Adj.) (TT$Mn)","Commercial Banks - Foreign Currency Savings Deposits (Adj.) (TT$Mn)","NFIs - Foreign Currency Deposits (Adj.) (TT$Mn)","Banking System: Net Domestic Credit (TT$Mn)","Loans and Advances to Central Government (TT$Mn)","Banking System: Credit to the Private Sector (TT$Mn)","Base Money M-0 (TT$Mn)","Narrow Money M-1A (TT$Mn)","Money Supply M-1C (TT$Mn)","Money Supply M-2 (TT$Mn)","Money Supply M-2* (TT$Mn)","Money Supply M-3 (TT$Mn)","Money Supply M-3* (TT$Mn)","Quasi Money (TT$Mn)","Commercial Banks & NFIs - Total Deposits Outstanding (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Deposits Outstanding Unincorporated Businesses (TT$Mn)","Banking System Investments (TT$Mn)","Commercial Banks & NFIs - Total Investment (Net) - TT$Mn","Commercial Banks & NFIs - Reserves (TT$Mn)","Commercial Banks & NFIs - Share Capital (TT$Mn)","Commercial Banks & NFIs - Total Loans Outstanding (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Consumers (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Incorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Non-Financial State Enterprises (TT$Mn)","Commercial Banks & NFIs - Loans (Net) (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Private Financial Institutions (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Public Sector (TT$Mn)","Commercial Banks & NFIs - Loans Outstanding Unincorporated Businesses (TT$Mn)","Commercial Banks & NFIs - Other Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Liabilities (TT$Mn)","Commercial Banks & NFIs - Total Real Estate Mortgage Loans (TT$Mn)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"May-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Apr-2020","66088.10","5855","19170.3","38111.4","35967.5","11464.4","24013.5","3958.5","7562.6","14589.5","623.6","54412","-20061.6","62054.3","25025.3","43966.4","79934.0","91398.4","115411.8","92887.6","117400.8","47432","117760","56499.1","28408.6","7384.9","11804.4","9784.5","3878","32795.2","34138.1","1828.9","23398.5","80349.1","36970.4","28876.3","8588.3","78368","1443.8","2380.8","2089.5","11709","158712","23927.4"
"Mar-2020","66677.00","5412.4","17841.3","39230.4","35021.2","11706.4","24261.8","4117.1","7449.7","14646.7","601.4","47407.2","-27430.2","62421","23253.6","44642.8","79663.9","91370.3","115632.2","92851.6","117658.3","46727.6","117374","55373.2","28855.5","7576.2","11911","9684.9","3973.6","33324.4","34859.3","1844.1","23385.7","80282.6","37230.2","28864.8","8351","78470.5","1386.1","2352.5","2098","11679.9","158221","24353.5"
"Feb-2020","67031.30","5356.5","17694.1","39613.0","34843.5","12010.7","24517.9","4663.0","7543.6","14276.3","648.0","50490.3","-24294.4","62549.6","23050.6","44969.6","79813.1","91823.7","116341.6","93588.3","118697.6","46854.1","118220","55222.8","28397.4","8006.7","13225.4","9347.2","4020.6","35605.4","37714.4","1492.3","23437.7","79779.2","37177","28596.7","8281.9","78215.6","1348.8","2273.8","2101.1","11574","159764","24274.9"
"Jan-2020","66892.40","4926.2","19204.6","38773.3","34742.0","11713.8","24086.9","3971.4","7526.0","13959.6","673.1","53812.3","-21324.5","62408.7","24130.8","43699.6","78441.6","90155.3","114242.2","91954.5","116714.2","46455.8","116666","55088.2","27769.8","7719.9","12827.7","9393.5","3866.6","34399","35813.1","1227.9","23245.6","79885.3","37156.4","28494.9","8347.4","78339","1318","2460.6","2108","11356.4","158004","24173.6"
"Dec-2019","66841.00","4782.3","20862.0","38254.4","34967.6","11470.9","24223.6","3690.8","7841.2","14073.7","656.0","54887.7","-20149.8","62451","25644.3","43036.7","78004.3","89475.2","113698.8","91251.8","116131.0","46438.5","117240","55337.1","28630.1","7127.1","13017.4","9219.4","3909.1","31112.7","32630.1","4223","23144","79734.1","37092.5","28628.9","8127.5","78222.5","1279.3","2508.5","2097.4","11642.9","158796","24066.7"
"Nov-2019","66323.10","7919.1","18738.5","36219.1","34146.1","11281.3","23914.2","3510.1","7320.3","14409.2","650.7","52716.4","-22246.8","61978","26657.6","44138.2","78284.3","89565.6","113479.8","91585.3","116149.9","45427.4","112945","54060.4","27736.8","7319.4","11452","8887.7","3489.2","31742.4","33486.3","1314.4","23241.1","78782.1","36423.1","28519.4","8596.1","77270.1","723.8","2369","2150.7","11766.1","154893","23889"
"Oct-2019","65871.00","7759.7","18623.1","34710.6","33753.1","10815.2","23815.8","3430.7","7391.6","14659.6","700.5","49888.3","-23967","61494.6","26382.8","42470.3","76223.4","87038.6","110854.4","89164.4","113680.5","44568.4","111442","53720.8","27243.1","6781.1","11089.3","9148.7","3458.6","32076.3","33733.1","1345.6","24088.7","77795","36053.2","28419","8138.6","76248.6","723.4","2323.1","2137.8","11084.6","154132","23617.4"
"Sep-2019","65662.80","7764.7","18561.6","36568.0","33600.4","10254.3","24828.4","3539.6","7921.2","14602.6","778.6","49861.1","-23745.9","61294.1","26326.3","44332.7","77933.1","88187.4","113015.8","90209.7","115816.4","43854.7","110573","53538.4","26377.6","6784.1","11675.4","8859.4","3338.2","31501.5","33359.2","1358.5","23878.8","77584.3","35888.8","28145.8","8368.5","76052.6","747.8","2298.2","2135.2","11605.1","153004","23291.1"
