"Date","Commercial Banks & NFIs - Regulatory Capital to Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier I Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Tier II Capital-to-Risk-Weighted Assets (%)","Commercial Banks & NFIs - Regulatory Capital-to-Total Assets (%)","Commercial Banks & NFIs - Net Open Position in Foreign Exchange-to-Capital (%)","Commercial Banks & NFIs - Non-Performing Loans-to-Gross Loans (%)","Commercial Banks & NFIs - Non-Performing Loans (Net of Provisions)-to-Capital (%)","Commercial Banks & NFIs - Total Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Impaired Loans (%)","Commercial Banks & NFIs - General Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Specific Provisions-to-Gross Loans (%)","Commercial Banks & NFIs - Return on Assets (%)","Commercial Banks & NFIs - Return on Equity (%)","Commercial Banks & NFIs - Interest Margin-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Income-to-Gross Income (%)","Commercial Banks & NFIs - Non-interest Expenses-to-Gross Income (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Assets (%)","Commercial Banks & NFIs - Liquid Assets-to-Total Short-Term Liabilities (%)","Commercial Banks & NFIs - Customer Deposits-to-Total (Non-Interbank) Loans (%)","Commercial Banks & NFIs - Foreign Currency Liabilities-to-Total Liabilities (%)"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Mar-2020","23.9","22.9","1","13.4","14.4","3","3.7","75.5","63.9","0.3","1.9","2","13.4","67.6","32.4","71.4","19.4","25.6","150.1","25.8"
"Dec-2019","23.6","22.3","1.2","13","11.2","3.1","5.4","61.6","48.8","0.4","1.5","3.6","24.3","60.2","39.8","53.5","21.5","27.9","150.3","25.8"
"Sep-2019","25.8","22.7","3.1","14.1","13.5","3.1","4.9","64","51.2","0.4","1.6","3.5","23.3","59.1","40.9","53.3","20.1","26.4","145.7","27.5"
"Jun-2019","23.9","22.7","1.2","13.4","13.4","3.4","5.9","59.8","48.3","0.4","1.6","3.5","23.9","59.4","40.6","52.8","20.2","26.3","151","27.6"
"Mar-2019","24.3","23.6","0.6","13.3","15.5","3","4.5","70.5","56","0.4","1.7","4.1","27.8","55.3","44.7","49.9","18.3","23.6","151.5","25.9"
"Dec-2018","23.3","23.5","-0.2","12.7","14.4","3.1","5.1","68.6","53.4","0.5","1.7","3","20.2","64.5","35.5","58.4","19","24.4","153.2","26.4"
"Sep-2018","24.3","22.9","1.4","13.7","17.2","3.3","5.9","63.6","44.9","0.6","1.5","2.7","17.7","65.1","34.9","60.3","19","24.9","154.3","25.8"
"Jun-2018","24.5","23.8","0.7","13.5","18.7","3.4","6.7","62.3","38.4","0.8","1.3","2.8","18.9","65.4","34.6","58.1","19.9","25.9","155.3","26.2"
"Mar-2018","24.5","24","0.5","13.4","17.8","3.2","6.6","66.5","38.1","0.9","1.2","2.8","18.2","65.3","34.7","59.7","20","25.9","151.9","26.5"
"Dec-2017","23.4","23.1","0.2","12.9","16.9","3","5.9","65.6","37.8","0.8","1.1","2.9","19","64.7","35.3","58.1","19.7","25.3","154.7","26.4"
"Sep-2017","23.9","22.1","1.8","13.1","15.3","3","5.7","63.2","37.7","0.8","1.1","2.6","17.4","65.3","34.7","60.6","20.1","25.9","157.1","26.3"
"Jun-2017","23.4","22.2","1.2","12.7","13.9","3.5","6.9","58.1","36.1","0.8","1.3","2.7","17.9","65.2","34.8","61.1","20.7","26.5","161.5","26"
"Mar-2017","23.8","23.4","0.4","12.6","16.1","3.1","6","62.6","38.9","0.7","1.2","2.5","17.1","65.4","34.6","62.4","21.6","27.6","162.9","26.1"
"Dec-2016","23.8","23","0.8","12.5","13.8","3.2","6.3","60.3","37.4","0.7","1.2","2.9","19.9","62","38","60","21.8","27.8","164.6","26"
"Sep-2016","24.5","23.4","1.1","12.9","10","3.2","5.8","60.1","43.2","0.6","1.4","2.4","16.8","63.4","36.6","62.5","21.6","27.8","163.7","25.7"
