"Date","Central Government Debt Management Bills Issuances (TT$Mn)","Central Government Debt Management Bills Repayments (TT$Mn)","Central Government Debt Management Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Bill Issuances (TT$Mn)","Central Government Open Market Treasury Bill Repayments (TT$Mn)","Central Government Open Market Treasury Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Note Issuances (TT$Mn)","Central Government Open Market Treasury Note Repayments (TT$Mn)","Central Government Open Market Treasury Notes Outstanding (TT$Mn)","Central Government Liquidity Absorption Bonds Issuances (TT$Mn)","Central Government Liquidity Absorption Bonds Repayments (TT$Mn)","Central Government Liquidity Absorption Bonds Outstanding (TT$Mn)","Central Government Total Sterilized Debt Outstanding (TT$Mn)","Central Government CLICO and HCU Zero-Coupon Bonds Allocations (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Conversions and Redemptions (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Outstanding (TT$M)","Central Government Domestic Bond Issues (TT$Mn)","Central Government Domestic Bond Repayments (TT$Mn)","Central Government Domestic Bonds Outstanding (TT$M)","Central Government Domestic Debt Outstanding (TT$Mn)","Central Government External Debt Outstanding (TT$Mn)","Central Government Total Debt Outstanding (TT$Mn)","Central Government External Debt Disbursements (US$Mn)","Central Government External Debt Amortization (US$Mn)","Central Government External Debt Interest Payments (US$Mn)","Central Government External Debt Service (US$Mn)","Central Government External Debt Outstanding (US$Mn)","Central Government External Bilateral Debt Outstanding (US$Mn)","Central Government External Multilateral Debt Outstanding (US$Mn)","Central Government External Commercial Debt Outstanding (US$Mn)","Central Government External Bonds Outstanding (US$Mn)","Guaranteed State-Owned Enterprise Debt Outstanding (TT$Mn)","Guaranteed Statutory Authorities Debt Outstanding (TT$Mn)","Contingent Liabilities Outstanding (TT$Mn)","Gross Public Sector Debt Outstanding (TT$Mn)","Net Public Sector Debt Outstanding (TT$Mn)","Central Government Domestic Debt to GDP Ratio (%)","Central Government External Debt to GDP Ratio (%)","Central Government Total Debt to GDP Ratio (%)","Contingent Liabilities Debt to GDP Ratio (%)","Gross Public Sector Debt to GDP Ratio (%)","Net Public Sector Debt to GDP Ratio (%)","Central Government External Debt Service Ratio (%)","3 Month Treasury Bill: Average Discount Rate – End of Period (%)"
"2019","5075","2505","4475","12660.5","22446.9","10514","1632","2285","2132","0","0","2559.3","15205.3","0.3","502.1","1790.3","7285.4","2874.1","43115.7","64706.8","27091.1","91797.9","279.8","122.1","169.7","291.8","4071.6","359.4","1528.8","133.4","2050","21411.4","9256.4","30667.8","122466","107260","39.4","16.5","18.7","18.7","74.6","65.3","0","1.14"
"2018","3670","3670","1905","27773.7","25639.5","20300.4","0","1183","2785","0","0","2559.3","25644.7","1","505.8","2292.1","5940","5054.4","38947.6","68935.3","26225.9","95161.2","421.2","100.3","127.5","227.9","3913.9","354.9","1385.2","123.8","2050","20229.3","9524.6","29753.9","124915","99270.4","42.2","16.1","58.3","18.2","76.5","60.8","2.2","1.26"
"2017","4315","3210","1905","23105.8","25404.2","18166.3","590","5416.8","3968","0","0","2559.3","24693.6","2.4","522.7","2796.9","9893.3","3770.7","37884","67451.7","23920.2","91371.9","439","88.9","122.7","211.6","3589.5","373.7","1069.5","96.3","2050","18739.4","10461.6","29201","120567","95873.2","42.4","15","57.5","18.4","75.8","60.3","2.1","1.16"
"2016","2550","2550","800","26189.8","24330","20464.7","1175","2077.7","8794.8","0","0","2559.3","31818.8","3.3","615.8","3317.3","4240.5","986.8","31593.2","67729","21578.7","89307.7","1075.3","76.9","101.4","178.3","3239","354.9","716","118.1","2050","19153.5","11243.9","30397.4","119705","87886.6","44.7","14.2","59","20.1","79","58","1.9","1.12"
"2015","2550","2550","800","25315.9","29408.6","18604.9","1811.3","465.8","9697.5","0","0","4399.3","32701.7","346.8","525.9","3927.7","3201","2662.8","28660.8","64487.5","14104.5","78592","142.5","85.9","83.2","169","2230.7","344","696.1","140.5","1050","19724.2","11090.4","30765.7","109358","76655.9","42.6","9.3","51.9","20.3","72.2","50.6","1.3","0.97"
"2014","2550","2550","800","29213","21130.4","22282.6","4821","1469","8352","1000","2233.9","4399.3","35033.9","0.5","587.2","4106.7","3887.6","2435.3","27819","66232","14477.4","80709.4","121.9","81.5","74.6","156.2","2174.1","260.8","690.3","173","1050","19710.1","10325.6","30035.7","109222","74188","40.4","7.9","48.2","18.3","66.5","45.2","1","0.1"
"2013","2550","2550","800","22018.5","21758.4","14200","1235.2","1235.2","5000","1559.3","0","5633.2","24833.2","198","997.2","4693.4","1500","667.6","26358.9","53001.7","14197.4","67199.1","713","121.6","77.5","199","2129","221.1","688.6","169.2","1050","18330.6","10463.9","28794.5","94635.7","69802.5","30","7.3","37.3","16.3","53.6","39.5","1.1","0.06"
"2012","2550","2550","800","27271.8","27532","13939.9","1670.8","1670.8","5000","0","674.3","4073.9","23013.8","9173.6","3681","5492.6","7600","678.6","26284.1","51984.1","11149.3","63133.6","63.7","114.5","62.8","177.4","1534.8","157.4","699.8","177.6","500","17464.9","9773.9","27238.9","89904.3","66890.4","30","6.2","36.2","15.7","51.9","38.6","1","0.39"
"2011","2550","2550","800","19926.5","19269.6","14200","2536.2","2586.2","5000","0","0","4748.2","23948.2","0","0","0","1500","261.7","19042.9","39904.8","11328.5","51233.3","290.3","106.2","73","179.2","1752.1","165.9","725.9","360.4","500","17103","11010.2","28113.2","79048.2","55150.2","24.2","6.7","30.9","17","47.9","33.4","1","0.28"
"2010","2550","2550","800","16513.4","16670.2","13543.2","400","400","5000","0","0","4748.2","23291.4","0","0","0","4493.8","624.3","17809","38084","10016.2","48100.2","242.2","71.6","48.9","120.5","1538.8","131.1","540.4","367.3","500","12581","9713","22294","70894","46946","28.6","7.5","36.1","16.6","52.9","35","1","0.37"
