"Date","Central Government Domestic Debt Outstanding (TT$Mn)","Central Government External Debt Outstanding (TT$Mn)","Central Government Total Debt Outstanding (TT$Mn)","Central Government Debt Management Bills Issuances (TT$Mn)","Central Government Debt Management Bills Repayments (TT$Mn)","Central Government Debt Management Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Bill Issuances (TT$M)","Central Government Open Market Treasury Bill Repayments (TT$M)","Central Government Open Market Treasury Bills Outstanding (TT$M)","Central Government Open Market Treasury Note Issuances (TT$Mn)","Central Government Open Market Treasury Note Repayments (TT$Mn)","Central Government Open Market Treasury Notes Outstanding (TT$Mn)","Central Government Domestic Bond Issues (TT$Mn)","Central Government Domestic Bond Repayments (TT$Mn)","Central Government Domestic Bonds Outstanding (TT$M)","Central Government Liquidity Absorption Bonds Issuances (TT$Mn)","Central Government Liquidity Absorption Bonds Repayments (TT$Mn)","Central Government Liquidity Absorption Bonds Outstanding (TT$Mn)","Central Government Total Sterilized Debt Outstanding (TT$Mn)","Central Government CLICO and HCU Zero-Coupon Bonds Allocations (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Conversions and Redemptions (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Outstanding (TT$M)","3 Month Treasury Bill: Average Discount Rate – End of Period (%)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","0.61"
"Jul-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","0.76"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","0.95"
"May-2020","69671.5","27800.9","97472.4","575","475","6136","0","400","10554","0","0","2132","1000","1700","46643.2","0","0","2309.3","14995.3","0","0","1789.6","0.95"
"Apr-2020","69098.7","26763.3","95862","250","250","6036","0","2767","10954","0","0","2132","346.6","1.4","45770.4","0","0","2309.3","15395.3","0","0","1789.6","1.03"
"Mar-2020","71179.5","27489.7","98669.2","759","555","6036","425","2992","13721","0","0","2132","2250","20.8","45082.9","0","0","2309.3","18162.3","0","0.2","1789.6","1.09"
"Feb-2020","73542.7","27732.9","101276","1407","50","5832","2876","2494","16288","0","0","2132","0","0","43094.6","0","0","2309.3","20729.3","0","0.5","1789.8","1.09"
"Jan-2020","69815.9","27629.6","97445.5","225","225","4475","6861","1469","15906","0","0","2132","0","4.6","43106.8","0","0","2309.3","20347.3","0","0","1790.3","0.98"
"Dec-2019","64456.8","27284.9","91741.7","1030","0","4475","0","2365","10514","0","0","2132","1200","1360.3","43115.7","0","0","2309.3","14955.3","0","0","1790.3","1.14"
