"Date","Central Government Debt Management Bills Issuances (TT$Mn)","Central Government Debt Management Bills Repayments (TT$Mn)","Central Government Debt Management Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Bill Issuances (TT$Mn)","Central Government Open Market Treasury Bill Repayments (TT$Mn)","Central Government Open Market Treasury Bills Outstanding (TT$Mn)","Central Government Open Market Treasury Note Issuances (TT$Mn)","Central Government Open Market Treasury Note Repayments (TT$Mn)","Central Government Open Market Treasury Notes Outstanding (TT$Mn)","Liquidity Absorption Bonds Issuances (TT$M)","Liquidity Absorption Bonds Repayments (TT$M)","Liquidity Absorption Bonds Outstanding (TT$M)","Total Sterilized Debt Outstanding (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Allocations (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Conversions and Redemptions (TT$M)","Central Government CLICO and HCU Zero-Coupon Bonds Outstanding (TT$M)","Central Government Domestic Bond Issues (TT$Mn)","Central Government Domestic Bond Repayments (TT$Mn)","Central Government Domestic Bonds Outstanding (TT$M)","Central Government Domestic Debt Outstanding (TT$Mn)","Central Government External Debt Outstanding (TT$Mn)","Central Government Total Debt Outstanding (TT$Mn)","Central Government External Debt Disbursements (US$Mn)","Central Government External Debt Amortization (US$Mn)","Central Government External Debt Interest Payments (US$Mn)","Central Government External Debt Service (US$Mn)","Central Government External Debt Outstanding (US$Mn)","Central Government External Bilateral Debt Outstanding (US$Mn)","Central Government External Multilateral Debt Outstanding (US$Mn)","Central Government External Commercial Debt Outstanding (US$Mn)","Central Government External Bonds Outstanding (US$Mn)","Guaranteed State-Owned Enterprise Debt Outstanding (TT$Mn)","Guaranteed Statutory Authorities Debt Outstanding (TT$Mn)","Contingent Liabilities Outstanding (TT$Mn)","Gross Public Sector Debt Outstanding (TT$Mn)","Net Public Sector Debt Outstanding (TT$Mn)","Central Government Domestic Debt to GDP Ratio (%)","Central Government External Debt to GDP Ratio (%)","Central Government Total Debt to GDP Ratio (%)","Contingent Liabilities Debt to GDP Ratio (%)","Gross Public Sector Debt to GDP Ratio (%)","Net Public Sector Debt to GDP Ratio (%)","Central Government External Debt Service Ratio (%)"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Mar-2020","2391","830","6036","10162","6955","13721","0","0","2132","0","0","2559.3","18412.3","0","0.7","1789.6","2250","16.4","45082.9","71429.5","27257.9","98687.4","79.3","47.3","61","108.3","4103.6","0","0","0","2050","21688.1","9817","31505.1","130192","111780","43.5","16.6","60.1","19.2","79.3","68.1","n.d"
"Dec-2019","1585","450","4475","3200","6747.5","10514","700","0","2132","0","0","2559.3","15205.3","0","471","1790.3","3300","1485.3","43115.7","64706.8","27091.1","91797.9","151.3","19.1","31.9","51","4071.6","359.4","1528.8","133.4","2050","21411.4","9256.4","30667.8","122466","107260","39.4","16.5","55.9","18.7","74.6","65.3","2.3"
"Sep-2019","1325","705","3340","2000","1969","14061.5","0","1000","1432","0","0","2559.3","18052.8","0","25.1","2261.3","843","811.7","41253","65029","26283.8","91312.8","100","49.6","54.8","104.3","3939.4","327.8","1423","138.6","2050","20474.6","9478.6","29953.2","121267","103214","39.8","16.1","55.9","18.3","74.3","63.2","4.9"
"Jun-2019","1540","725","2720","719.5","6550.7","14030.5","190","1285","2432","0","0","2559.3","19021.8","0.3","0.2","2286.4","2500","285.8","41273.1","65434.7","25969.3","91404","24.3","20.6","30.6","51.2","3889","341","1352.6","145.3","2050","19445.3","9097.2","28542.5","119946","100925","40.1","15.9","56","17.5","73.5","61.8","2.2"
"Mar-2019","625","625","1905","6741","7179.7","19861.7","742","0","3527","0","0","2559.3","25948","0","5.9","2286.2","642.4","291.3","39325.6","69599.5","25925.6","95525.1","4.2","32.8","52.4","85.2","3885.3","341","1368","126.2","2050","19868.7","9352.8","29221.5","124747","98798.6","42.6","15.9","58.5","17.9","76.4","60.5","3.2"
"Dec-2018","650","650","1905","7987","5960.1","20300.4","0","0","2785","0","0","2559.3","25644.7","0","475.8","2292.1","2340","942.5","38947.6","68935.3","26225.9","95161.2","237","22.4","17","39.5","3913.9","354.9","1385.2","123.8","2050","20229.3","9524.6","29753.9","124915","99270.4","42.2","16.1","58.3","18.2","76.5","60.8","2"
"Sep-2018","1235","1235","1905","5727","7746.9","18273.4","0","200","2785","0","0","2559.3","23617.7","0.5","20","2767.9","450","741","37507.6","65945.3","24710.1","90655.4","0","32.8","49.9","82.7","3695.8","354.9","1207.1","83.8","2050","18395.8","10110.3","28506.1","119162","95543.8","41.5","15.5","57","17.9","74.9","60.1","3"
"Jun-2018","955","955","1905","7592.5","6518.9","20293.3","0","400","2985","0","0","2559.3","25837.6","0","2.8","2787.5","750","680.2","37769","68457","24883.7","93340.7","182","24.5","12.9","37.4","3728.6","368.5","1224.3","85.8","2050","18365.7","10569.9","28935.6","122242","96404.3","43.1","15.6","58.7","18.2","76.9","60.6","1.7"
"Mar-2018","830","830","1905","6467.2","5413.7","19219.7","0","583","3385","0","0","2559.3","24735.5","0.6","7.3","2790.2","2400","2690.7","37618.5","67639.4","23717.6","91357","2.2","20.6","47.7","68.3","3571.1","368.5","1058.5","94.1","2050","18348.3","10228.1","28576.4","119913","94748.6","42.5","14.9","57.4","18","75.4","59.6","2.2"
