"Date","T&T Gross Foreign Assets - US$ Millions","T&T Total Foreign Liabilities - US$ Millions","T&T Net Foreign Position - US$ Millions","Net Official Reserves - US$ Millions","Import Cover (months)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","n.d","n.d","n.d","7220.7","8.5"
"Jun-2020","n.d","n.d","n.d","7313.3","8.5"
"May-2020","n.d","n.d","n.d","6894.1","8"
"Apr-2020","10262","808.2","9453.7","6563.3","7.5"
"Mar-2020","10413.1","746.2","9666.9","6625.5","7.5"
"Feb-2020","10567.5","947.6","9620","6823.6","7.7"
"Jan-2020","10397.5","907.7","9489.7","6802.4","7.6"
"Dec-2019","10537.9","918.6","9619.3","6929","7.7"
"Nov-2019","10512.7","911.3","9601.4","6933","7.7"
"Oct-2019","10851.8","987.9","9863.9","7110","7.9"
"Sep-2019","10702.8","863","9839.7","6898.9","7.7"
"Aug-2019","10732.9","899.7","9833.2","7062.4","7.9"
"Jul-2019","10501","853.2","9647.8","6871.5","7.7"
"Jun-2019","10514.5","754.3","9760.3","6993.6","7.9"
"May-2019","10547.5","693.6","9853.9","7150.6","8.1"
"Apr-2019","10696.2","717.4","9978.8","7318.2","8.3"
"Mar-2019","10658.9","695.3","9963.6","7350.5","8.3"
"Feb-2019","10864","907.7","9956.3","7495.5","8.5"
"Jan-2019","10921.4","707.3","10214","7613.7","8.6"
"Dec-2018","10995.4","647.2","10348.3","7575","8"
"Nov-2018","10671.2","671.9","9999.4","7446.6","7.9"
"Oct-2018","10685.8","577.8","10107.9","7430.4","8"
"Sep-2018","10771.4","572.6","10198.8","7465.3","8.1"
"Aug-2018","11019.5","623.6","10395.9","7619.7","8.3"
"Jul-2018","11182.8","588.1","10594.7","7749.8","8.5"
"Jun-2018","11329.8","595.2","10734.6","7816.3","8.6"
"May-2018","11397.1","565","10832","7965.4","8.9"
"Apr-2018","11560.4","617.1","10943.3","8112.1","9.1"
"Mar-2018","11412","613.2","10798.8","7987.9","9"
"Feb-2018","11427.9","590.8","10837.1","8095.4","9.2"
"Jan-2018","11480.5","585.4","10895.1","8283","9.5"
"Dec-2017","11701.4","559.2","11142.2","8369.8","9.7"
"Nov-2017","11706.8","622.9","11083.8","8350.8","9.7"
"Oct-2017","11822.5","573","11249.5","8516.7","9.8"
"Sep-2017","12013.9","582.8","11431.1","8506.6","9.8"
"Aug-2017","12017.6","542.4","11475.2","8711","10.1"
"Jul-2017","12065.9","560.1","11505.9","8742.8","10.1"
"Jun-2017","12081.7","539.2","11542.5","8735.9","10.1"
"May-2017","12342.3","639.6","11702.7","8955.6","10.3"
"Apr-2017","12432.1","623.1","11809","9053.5","10.4"
"Mar-2017","12506.8","567.6","11939.2","9105.4","10.5"
"Feb-2017","12321.5","603.2","11718.4","9089.9","10.4"
"Jan-2017","12543","608.3","11934.7","9303.5","10.7"
"Dec-2016","12809.6","605.5","12204","9465.8","10.5"
"Nov-2016","12755.6","599.9","12155.7","9676.6","10.8"
"Oct-2016","12993.7","626.2","12367.5","9891.7","11"
"Sep-2016","13127.6","581.7","12545.9","10008.8","11.2"
"Aug-2016","13340.6","551","12789.6","10266","11.5"
"Jul-2016","12805.5","546.6","12258.9","9446.5","11.2"
"Jun-2016","12648.7","519","12129.8","9565.7","11.3"
"May-2016","12907.9","710.8","12197.2","9671.3","11.4"
"Apr-2016","12645.9","648.2","11997.7","9429","11.1"
"Mar-2016","12831.6","704.7","12126.9","9571","11.3"
"Feb-2016","12817.5","653.6","12163.9","9722.7","11.5"
"Jan-2016","12885.4","821.7","12063.7","9805.9","11.6"
"Dec-2015","13441.8","811.5","12630.4","9933","11.2"
"Nov-2015","13292.3","823.4","12468.9","9778.6","11.1"
"Oct-2015","13466.5","778.2","12688.3","9790.9","11.1"
"Sep-2015","13772.4","857.3","12915.1","10459.2","11.9"
"Aug-2015","13646.2","817.8","12828.4","10539.2","12.1"
"Jul-2015","13712.5","746.4","12966.2","10626.2","12.2"
"Jun-2015","13866.4","777.7","13088.7","10739.1","12.4"
"May-2015","14035.7","680.3","13355.4","10804.2","12.5"
"Apr-2015","14073.6","664.4","13409.2","10959.5","12.7"
"Mar-2015","14205","680.7","13524.2","10995.6","12.8"
"Feb-2015","14096.8","883.4","13213.3","10852.4","12.7"
"Jan-2015","14201.8","752","13449.9","11097.1","13"
"Dec-2014","14563.8","790.6","13773.2","11497.1","12.9"
"Nov-2014","14329.3","734.5","13594.7","11310.6","12.8"
"Oct-2014","14458.3","746.2","13712.1","11295.2","12.8"
"Sep-2014","13479.6","716.3","12763.3","10304.1","11.7"
"Aug-2014","13304.1","715.1","12589","10234.7","11.6"
"Jul-2014","13499.4","723.1","12776.4","10409.1","11.8"
"Jun-2014","13696.3","746.9","12949.4","10496.3","12"
"May-2014","13610.2","743.4","12866.7","10395.6","11.9"
"Apr-2014","13702","757.1","12944.9","10552.2","12.1"
"Mar-2014","13279.4","738.3","12541.1","10202.8","12.1"
"Feb-2014","12959.8","769.5","12190.3","10033.2","12"
"Jan-2014","13126.2","751.4","12374.8","10112","12.1"
"Dec-2013","13263.2","745.2","12518","10175.9","12.2"
"Nov-2013","12820.1","764.1","12056","9494.8","10.5"
"Oct-2013","12788.1","728.7","12059.4","9545.3","11.5"
"Sep-2013","12658.6","692.3","11966.3","9611","11.6"
"Aug-2013","12421.2","1000.2","11421.1","9439.2","11.4"
"Jul-2013","12533","968.3","11564.7","9489.8","11.4"
"Jun-2013","12810.1","819.1","11991","9566.6","10.7"
"May-2013","12569.8","709.5","11860.2","9467.6","10.6"
"Apr-2013","12610.7","734.9","11875.8","9445.4","10.6"
"Mar-2013","12437.9","740.8","11697.2","9351.6","10.5"
"Feb-2013","12303.9","617.8","11686.1","9259.8","10.5"
"Jan-2013","12426.2","637.5","11788.7","9276.3","10.5"
"Dec-2012","12421.5","614.2","11807.3","9370.7","10.6"
"Nov-2012","11854.2","638.6","11215.6","9275","10.5"
"Oct-2012","11931.4","587.9","11343.5","9453.6","10.8"
"Sep-2012","12153.2","607.4","11545.8","9506.3","10.9"
"Aug-2012","12123.2","758.8","11364.4","9494.6","10.9"
"Jul-2012","12231.3","705.9","11525.4","9608.4","11.1"
"Jun-2012","12459.6","717.8","11741.8","9902.7","11.5"
"May-2012","12325","751","11574","9925.7","11.5"
"Apr-2012","12577.7","702.7","11875","10072.3","11.7"
"Mar-2012","12572.8","684","11888.8","10051.1","11.8"
"Feb-2012","12292.1","660.8","11631.3","9867.7","11.6"
"Jan-2012","12407.2","629.2","11778","9957.9","11.7"
"Dec-2011","12473.7","723","11750.7","9982.8","13.7"
"Nov-2011","11879","778.3","11100.7","9674.5","13.3"
"Oct-2011","12020.9","737","11283.9","9725","13.3"
"Sep-2011","11961.3","751.7","11209.6","9497.6","13"
"Aug-2011","11791.1","746.5","11044.7","9665.9","13.3"
"Jul-2011","12014.4","704.2","11310.3","9745.6","13.4"
"Jun-2011","12208.5","695","11513.5","9885.8","13.6"
"May-2011","11907.8","708.4","11199.5","9638.6","14"
"Apr-2011","11865.2","703.7","11161.5","9741.9","14.1"
"Mar-2011","11354.8","663","10691.8","9283.4","13.4"
"Feb-2011","11161.3","570.2","10591.1","9169.6","13.3"
"Jan-2011","11323.1","705.3","10617.8","9243.1","13.4"
"Dec-2010","11369.9","730.6","10639.4","9181.3","13.3"
"Nov-2010","10877.7","756.3","10121.4","8868.6","12.8"
"Oct-2010","11231.1","752.7","10478.4","9300.1","13.4"
"Sep-2010","11127.9","772.4","10355.5","9198.8","13.3"
"Aug-2010","11113.5","799.5","10314.1","9050.8","12.9"
"Jul-2010","11571.5","810.1","10761.4","9341.1","13.3"
"Jun-2010","11640.1","872.7","10767.4","9217.7","13.2"
"May-2010","11445.5","967.6","10477.9","9006.3","12.9"
"Apr-2010","11424.1","945.6","10478.4","9082.6","13"
"Mar-2010","11474.6","702.4","10772.2","8879.8","12.7"
"Feb-2010","11385.5","721.7","10663.8","8745.8","12.5"
"Jan-2010","11742","763.9","10978.1","8852.7","12.6"
"Dec-2009","11485.3","787.3","10698","8746","12"
"Nov-2009","11359.8","791.6","10568.2","8923.7","12.2"
"Oct-2009","11356.1","810.4","10545.7","9072.2","12.4"
"Sep-2009","11384.5","818.1","10566.3","9030.3","12.4"
"Aug-2009","11278.6","866.8","10411.8","9107.6","12.5"
"Jul-2009","11038.5","866.3","10172.2","8859.7","12.2"
"Jun-2009","10929.8","950.9","9978.9","8879.6","12.2"
"May-2009","10924.3","897.5","10026.8","8937","12.3"
"Apr-2009","11204.3","903","10301.3","9280.7","12.8"
"Mar-2009","11042.3","927.5","10114.8","9023.3","12.4"
"Feb-2009","10979.6","918","10061.6","8966.1","12.4"
"Jan-2009","11220.3","939","10281.3","9324.9","12.8"
"Dec-2008","11645","969.4","10675.6","9425.4","11.6"
"Nov-2008","11162.7","986.2","10176.5","8939.9","11"
"Oct-2008","11144.4","984.6","10159.8","9143.9","11.2"
"Sep-2008","10854.9","882.7","9972.2","8757.9","10.8"
"Aug-2008","10464.2","929.3","9534.9","8544.7","10.5"
"Jul-2008","10781.4","1088.2","9693.2","8621.2","10.6"
"Jun-2008","11360.3","1132.8","10227.5","8759.4","10.8"
"May-2008","9420.1","1144.5","8275.6","7432.6","9.1"
"Apr-2008","9462.3","1075.6","8386.7","7416.5","9.1"
"Mar-2008","9349.7","1170.2","8179.5","7358.7","9.1"
"Feb-2008","8979.7","1192.6","7787.1","7076","8.7"
"Jan-2008","9092.7","1217.4","7875.4","7105.5","8.7"
"Dec-2007","8668.6","1084.3","7584.3","6694.2","9.4"
"Nov-2007","8351.1","1086.1","7264.9","6461","9.1"
"Oct-2007","8422.3","1101.6","7320.8","6470","9.1"
"Sep-2007","8295.7","1015.1","7280.7","6395","9"
"Aug-2007","8096.2","1013.4","7082.8","6239.4","8.8"
"Jul-2007","8161.5","1005.2","7156.3","6255.7","8.8"
"Jun-2007","8073.4","1023.4","7050","6102","8.6"
"May-2007","7779.7","926.3","6853.4","5716.8","8"
"Apr-2007","7889.2","936.5","6952.7","5667.3","8"
"Mar-2007","7728.1","946","6782.1","5505.8","7.7"
"Feb-2007","7383.7","1024.3","6359.3","5341.5","9.5"
"Jan-2007","7270.6","1006.6","6264","5272.1","9.4"
"Dec-2006","7131.6","964.9","6166.7","5169.6","10.1"
"Nov-2006","6905.5","984.9","5920.6","5191.7","10.1"
"Oct-2006","7009.3","971","6038.3","5447.6","10.3"
"Sep-2006","6774.3","959.5","5814.9","5149.3","10.1"
"Aug-2006","6665.2","943.4","5721.8","5574.9","10"
"Jul-2006","6978.7","941.6","6037.1","5569.1","10.2"
"Jun-2006","7092.7","1020.9","6071.8","5314.8","10.3"
"May-2006","6727.6","1086.1","5641.5","4893.6","9.4"
"Apr-2006","6381.7","1059.2","5322.5","4721.6","9.2"
"Mar-2006","6237.5","1047.4","5190.1","4533.3","8.9"
"Feb-2006","5636.1","1049.9","4586.3","4102.8","8"
"Jan-2006","5715.9","1138.9","4577","4190","8.3"
"Dec-2005","5493.5","1167.8","4325.7","3972","n.d"
"Nov-2005","5824.6","1103.9","4720.7","3580.8","n.d"
"Oct-2005","5844.7","1245.1","4599.6","3502.8","n.d"
"Sep-2005","5549.2","1060.9","4488.4","3511.3","n.d"
"Aug-2005","5398","1032.2","4365.8","3514.1","n.d"
"Jul-2005","5146.1","834.3","4311.8","3424","n.d"
"Jun-2005","5043.2","749.3","4293.8","3237.9","n.d"
"May-2005","4819.4","730.8","4088.6","3055.1","n.d"
"Apr-2005","4750.2","723","4027.1","3051.3","n.d"
"Mar-2005","4763.5","767","3996.6","2944.5","n.d"
"Feb-2005","4425.3","805.5","3619.8","2704.5","n.d"
"Jan-2005","4435.7","779.8","3655.9","2714.1","n.d"
"Dec-2004","3973.7","756.6","3217","2695.4","n.d"
"Nov-2004","3637.1","767.9","2869.2","2438.9","n.d"
"Oct-2004","3536.7","673","2863.7","2460.4","n.d"
"Sep-2004","3555.1","689","2866","2547.1","n.d"
"Aug-2004","3698.4","724.9","2973.5","2597","n.d"
"Jul-2004","3942.6","683.3","3259.3","2584.6","n.d"
"Jun-2004","3761.6","685.3","3076.3","2517","n.d"
"May-2004","3508","691.2","2816.9","2294.2","n.d"
"Apr-2004","3484.4","690.2","2794.2","2268.6","n.d"
"Mar-2004","3614.1","752","2862.1","2316.6","n.d"
"Feb-2004","3639.7","1227.5","2412.1","2148.3","n.d"
"Jan-2004","3276.7","954.6","2322.2","2189.6","n.d"
"Dec-2003","3202.1","1058.3","2143.8","2183.7","n.d"
"Nov-2003","3014.8","656","2358.8","2069.9","n.d"
"Oct-2003","3143.2","672","2471.2","2170.5","n.d"
"Sep-2003","2977.1","646.7","2330.4","2138.4","n.d"
"Aug-2003","2827.1","620.6","2206.5","1948.9","n.d"
"Jul-2003","2968","631.3","2336.7","1969.1","n.d"
"Jun-2003","2967.1","603.1","2364","1941","n.d"
"May-2003","2641.9","629.3","2012.6","1807.3","n.d"
"Apr-2003","2701.7","615.8","2085.9","1844.9","n.d"
"Mar-2003","2553.9","611.5","1942.4","1863","n.d"
"Feb-2003","2549.1","565.5","1983.6","1811.5","n.d"
"Jan-2003","2614.5","572.6","2041.9","1848.3","n.d"
"Dec-2002","2534.3","632.6","1901.7","1847.7","n.d"
"Nov-2002","2666.3","615.2","2051.1","1863.2","n.d"
"Oct-2002","2517.6","586.7","1931","1916.5","n.d"
"Sep-2002","2458.7","589.1","1869.7","1928.6","n.d"
"Aug-2002","2704.5","504.7","2199.8","1907.3","n.d"
"Jul-2002","2473.8","486.6","1987.2","1897.1","n.d"
"Jun-2002","2482.7","480.6","2002.1","1855.1","n.d"
"May-2002","2513.9","521.5","1992.4","1787.8","n.d"
"Apr-2002","2504.7","516.4","1988.3","1755.2","n.d"
"Mar-2002","2337.6","564.9","1772.8","1747.5","n.d"
"Feb-2002","2517.2","575.3","1941.9","1736.6","n.d"
"Jan-2002","2444.1","606.5","1837.7","1764.1","n.d"
"Dec-2001","2322.3","622.1","1700.2","1725.6","n.d"
"Nov-2001","2414.2","480.3","1933.9","1705.2","n.d"
"Oct-2001","2364","421.3","1942.7","1730.6","n.d"
"Sep-2001","2415.4","570.8","1844.7","1724.5","n.d"
"Aug-2001","2413.4","716.9","1696.5","1743.6","n.d"
"Jul-2001","2333.8","589.5","1744.3","1716","n.d"
"Jun-2001","2302.5","544","1758.5","1669.8","n.d"
"May-2001","2180.3","460.8","1719.4","1588.7","n.d"
"Apr-2001","2060.1","425.2","1634.8","1553.1","n.d"
"Mar-2001","1998.6","349.2","1649.4","1473.4","n.d"
"Feb-2001","1883.9","325.6","1558.2","1391.3","n.d"
"Jan-2001","1819.1","303.8","1515.4","1377.8","n.d"
"Dec-2000","1843.6","290","1553.6","1321.9","n.d"
"Nov-2000","1672","242.6","1429.3","1189.1","n.d"
"Oct-2000","1724","267.4","1456.6","1321.5","n.d"
"Sep-2000","1662.6","253.6","1408.9","1316.3","n.d"
"Aug-2000","1682.9","296.5","1386.4","1279.3","n.d"
"Jul-2000","1695.6","315.6","1380","1316.8","n.d"
"Jun-2000","1732.4","316.1","1416.3","1303.2","n.d"
"May-2000","1306.5","293.8","1012.7","908.3","n.d"
"Apr-2000","1354","287.5","1066.5","923.2","n.d"
"Mar-2000","1328.6","299.5","1029.1","901.7","n.d"
"Feb-2000","1318.8","280.3","1038.6","903.2","n.d"
"Jan-2000","1368.4","283.5","1084.9","941.6","n.d"
"Dec-1999","1389.9","294.5","1095.4","949.8","n.d"
"Nov-1999","1303.1","284.5","1018.6","856.4","n.d"
"Oct-1999","1388.9","290.6","1098.3","906.9","n.d"
"Sep-1999","1308.4","266.2","1042.3","894.6","n.d"
"Aug-1999","1097.1","261.8","835.3","649.7","n.d"
"Jul-1999","1153.7","202.9","950.8","683.6","n.d"
"Jun-1999","1166.4","269.9","896.4","681","n.d"
"May-1999","1124","217.8","906.2","672.6","n.d"
"Apr-1999","1139.6","201","938.7","696.7","n.d"
"Mar-1999","1131.8","175.2","956.6","699.5","n.d"
"Feb-1999","1178.9","205.9","973","739","n.d"
"Jan-1999","1130.4","176.6","953.8","755.6","n.d"
"Dec-1998","1184.6","199.7","984.8","765.5","n.d"
"Nov-1998","1178.7","236.5","942.2","743.4","n.d"
"Oct-1998","1189.5","186","1003.5","750.9","n.d"
"Sep-1998","1173.9","180","993.9","727.2","n.d"
"Aug-1998","1232.6","191","1041.5","766.2","n.d"
"Jul-1998","1255.4","172.6","1082.8","751.9","n.d"
"Jun-1998","1164.5","151.3","1013.2","686.1","n.d"
"May-1998","1145.9","175.9","970.1","703.4","n.d"
"Apr-1998","1191.4","151.5","1039.9","714","n.d"
"Mar-1998","1189","168.8","1020.2","710.8","n.d"
"Feb-1998","1254.6","240.6","1014","762","n.d"
"Jan-1998","1153.3","244.6","908.7","692.6","n.d"
"Dec-1997","1120.2","260.2","860","690.5","n.d"
"Nov-1997","982.4","220.6","761.8","511.4","n.d"
"Oct-1997","1019.8","179.4","840.4","635.7","n.d"
"Sep-1997","1000.9","162.9","838","629.8","n.d"
"Aug-1997","1071.4","146.9","924.6","674.4","n.d"
"Jul-1997","1030.9","143.8","887.1","700.4","n.d"
"Jun-1997","1053.5","238.1","815.4","704.7","n.d"
"May-1997","1023.8","252.1","771.7","674.9","n.d"
"Apr-1997","883.4","229.7","653.7","555.9","n.d"
"Mar-1997","897.6","228.6","669","540.2","n.d"
"Feb-1997","864.7","240.5","624.3","519.1","n.d"
"Jan-1997","941.1","297.2","643.9","516.4","n.d"
"Dec-1996","937.2","212.9","724.2","532.7","n.d"
"Nov-1996","820.6","233.6","587","300.4","n.d"
"Oct-1996","831.1","190.9","640.1","331.3","n.d"
"Sep-1996","778.3","150.6","627.7","335.1","n.d"
"Aug-1996","725.2","151.7","573.5","336.5","n.d"
"Jul-1996","742","147","595","317.5","n.d"
"Jun-1996","738.6","140.7","597.9","343.2","n.d"
"May-1996","653.4","134","519.4","276.7","n.d"
"Apr-1996","663.8","128.9","534.9","300.1","n.d"
"Mar-1996","661.9","141.2","520.6","331.2","n.d"
"Feb-1996","654","137.8","516.2","336.4","n.d"
"Jan-1996","646.9","145.1","501.8","343.8","n.d"
"Dec-1995","652.3","141.9","510.4","346.2","n.d"
"Nov-1995","616.3","137.9","478.4","333.5","n.d"
"Oct-1995","633.5","127.2","506.3","369","n.d"
"Sep-1995","654.2","134.1","520","360","n.d"
"Aug-1995","647.7","114.1","533.6","360.7","n.d"
"Jul-1995","684.9","98.3","586.6","372.1","n.d"
"Jun-1995","749.6","93.6","656","358.9","n.d"
"May-1995","648.5","118.9","529.6","314.9","n.d"
"Apr-1995","630.5","86.8","543.7","333.9","n.d"
"Mar-1995","681.3","115.9","565.3","338.5","n.d"
"Feb-1995","775","93.2","681.9","350.1","n.d"
"Jan-1995","703.3","84.3","618.9","355.3","n.d"
"Dec-1994","678.9","164.4","514.5","261.9","n.d"
"Nov-1994","471.9","167.6","304.3","119.4","n.d"
"Oct-1994","482.3","176.5","305.8","133","n.d"
"Sep-1994","386.2","214.6","171.6","10.2","n.d"
"Aug-1994","354.3","201.8","152.5","6.7","n.d"
"Jul-1994","319.8","186.6","133.2","-37.9","n.d"
"Jun-1994","295.4","192.1","103.3","-54.9","n.d"
"May-1994","282.2","193.9","88.4","-62.5","n.d"
"Apr-1994","290.1","187.2","102.9","-47.3","n.d"
"Mar-1994","314.9","192.2","122.7","-22.6","n.d"
"Feb-1994","406.9","204.9","202","52.4","n.d"
"Jan-1994","389.3","193.2","196.1","56.8","n.d"
"Dec-1993","446.3","239.7","206.6","74.5","n.d"
"Nov-1993","388.9","228.6","160.3","54","n.d"
"Oct-1993","301.6","238.4","63.2","-37.6","n.d"
"Sep-1993","284.8","265.5","19.4","-67.2","n.d"
"Aug-1993","323.8","270.2","53.6","-30.9","n.d"
"Jul-1993","327.5","261.2","66.3","-44.7","n.d"
"Jun-1993","329.9","300.5","29.5","-95.7","n.d"
"May-1993","320.2","317.5","2.8","-131.5","n.d"
"Apr-1993","309.8","342.7","-33","-146.7","n.d"
"Mar-1993","306","379.2","-73.2","-157.8","n.d"
"Feb-1993","251.8","382.7","-130.9","-190.1","n.d"
"Jan-1993","325.4","380.3","-54.9","-87.4","n.d"
"Dec-1992","276.4","352.6","-76.2","-83.8","n.d"
"Nov-1992","270.2","353","-82.7","-59.7","n.d"
"Oct-1992","248","367.7","-119.7","-101.6","n.d"
"Sep-1992","273.5","368.1","-94.7","-83.9","n.d"
"Aug-1992","270","372.6","-102.7","-94.3","n.d"
"Jul-1992","298.3","380.4","-82","-76.1","n.d"
"Jun-1992","277.6","364.6","-87","-105.9","n.d"
"May-1992","272.5","361.2","-88.7","-109.2","n.d"
"Apr-1992","248.9","371.9","-123","-135.3","n.d"
"Mar-1992","201.3","387.1","-185.8","-188.1","n.d"
"Feb-1992","162.6","390.7","-228.1","-233.8","n.d"
"Jan-1992","220.8","400","-179.2","-182.7","n.d"
"Dec-1991","416.3","455.4","-39.2","-50.9","n.d"
"Nov-1991","385.9","419.1","-33.2","-61.3","n.d"
"Oct-1991","435.7","412","23.6","7.7","n.d"
"Sep-1991","493.6","415.5","78.1","49.5","n.d"
"Aug-1991","426.9","404.6","22.2","12.4","n.d"
"Jul-1991","474.2","401.8","72.4","58","n.d"
"Jun-1991","546.7","412","134.7","122","n.d"
"May-1991","537.5","413.7","123.8","119.1","n.d"
"Apr-1991","578.8","403.9","174.9","162.6","n.d"
"Mar-1991","529.6","357.3","172.3","175.2","n.d"
"Feb-1991","509.1","380","129","118.5","n.d"
"Jan-1991","513.9","385.3","128.7","121.9","n.d"
"Invalid date","0","0","0","0","0"
