"Date","Commercial Banks Average Excess Reserves (TT$Mn)","Central Government Net Domestic Fiscal Injections (TT$Mn)","Net Open Market Operations (TT$Mn)","Commercial Bank Required Reserves (TT Millions)","Commercial Bank Cash Reserves (TT Millions)","Commercial Bank Excess Reserves-End of Period (TT Millions)","Prescribed Deposits Liabilities (Adj.) (TT Millions)","Commercial Banks' Deposits - Secondary Reserve Requirements, Fixed Deposits & Special Deposits (TT Millions)","Commercial Banks' Treasury Bills (TT Millions)","Commercial Banks Local Cash in Hand (TT Millions)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","9713.1","1083.1","0","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jun-2020","9998.5","840.3","425","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"May-2020","8336.5","3475.3","400","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Apr-2020","5736.8","574.5","2767","12288.1","19170.3","6612.8","87772.3","n.d","15195.0","1616.9"
"Mar-2020","4583.2","-1734.3","2567","12312.1","17841.3","5638.8","87943.4","n.d","16298.9","1632.5"
"Feb-2020","3290.4","-624.1","-382","14942.7","17694.1","2607.2","87898.0","n.d","18527.3","1276.8"
"Jan-2020","4823.8","3628.7","-5392","14984.6","19204.6","4212.9","88144.9","n.d","17367.2","1016.1"
"Dec-2019","5453.5","843.2","2365","14391.5","20862.0","6470.6","84655.6","n.d","13897.7","3990.1"
"Nov-2019","5465.9","-2288.9","1342","13995.0","18738.5","4686.0","82323.3","n.d","14278.7","1105.7"
"Oct-2019","4759.9","1636.1","-859.5","13855.2","18623.1","4463.3","81500.9","n.d","15238.5","1140.0"
"Sep-2019","5179.9","970.6","209","13749.4","18561.6","5121.1","80878.8","n.d","15398.8","1100.3"
"Aug-2019","4487.1","323.8","260","13673.5","17819.3","4135.4","80432.6","n.d","15144.9","1120.2"
"Jul-2019","3709.7","1082.5","500","13638.4","18025.1","4386.7","80225.9","n.d","14521.6","1158.9"
"Jun-2019","5130.7","-118.3","1420","13759.7","17614.7","4200.3","80939.2","n.d","13830.9","1073.8"
