"Date","GDP at Market Prices (TT$ Mn)","GDP at Market Prices - Petroleum (TT$ Mn)","GDP at Market Prices - Non Petroleum (TT$ Mn)","GDP at Market Prices - Agriculture (TT$ Mn)","GDP at Market Prices - Manufacturing (TT$ Mn)","GDP at Market Prices - Electricity and Water (TT$ Mn)","GDP at Market Prices - Construction (TT$ Mn)","GDP at Market Prices - Distribution (TT$ Mn)","GDP at Market Prices - Hotels and Guest Houses (TT$ Mn)","GDP at Market Prices - Transport (TT$ Mn)","GDP at Market Prices - Finance (TT$ Mn)","GDP at Market Prices - Government (TT$ Mn)","GDP at Market Prices - Education (TT$ Mn)","GDP at Market Prices - Personal Services (TT$ Mn)","GDP at Constant 2000 Prices (TT$ Mn)","GDP at Contant 2000 Price - Petroleum (TT$ Mn)","GDP at Contant 2000 Price - Non Petroleum (TT$ Mn)","GDP at Contant 2000 Price - Agriculture (TT$ Mn)","GDP at Contant 2000 Price - Manufacturing (TT$ Mn)","GDP at Contant 2000 Price - Electricity and Water (TT$ Mn)","GDP at Contant 2000 Price - Construction (TT$ Mn)","GDP at Contant 2000 Price - Distribution (TT$ Mn)","GDP at Contant 2000 Price - Hotels and Guest Houses (TT$ Mn)","GDP at Contant 2000 Price - Transport (TT$ Mn)","GDP at Contant 2000 Price - Finance (TT$ Mn)","GDP at Contant 2000 Price - Government (TT$ Mn)","GDP at Contant 2000 Price - Education (TT$ Mn)","GDP at Contant 2000 Price - Personal Services (TT$ Mn)","Real GDP Growth - Total (%)","Real GDP Growth - Petroleum Sector (%)","Real GDP Growth - Non-Petroleum Sector (%)","Real GDP Growth - Agriculture (%)","Real GDP Growth - Manufacturing (%)","Real GDP Growth - Electricity and Water (%)","Real GDP Growth - Construction (%)","Real GDP Growth - Distribution (%)","Real GDP Growth - Hotels and Guest Houses (%)","Real GDP Growth - Transport (%)","Real GDP Growth - Finance, Insurance and Real Estate (%)","Real GDP Growth - Government (%)","Real GDP Growth - Education (%)","Real GDP Growth - Personal Services (%)"
"2019","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2018","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2017","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2016","145910.70","27457.40","112092.90","750.50","8288.80","2277.30","9433.10","37313.70","584.50","10763.40","21188.30","14615.90","4167.50","2709.90","91939.20","29456.90","60129.70","364.80","7162.20","1414.70","4276.40","13220.50","210.90","9060.50","15585.50","5266.90","1909.50","1657.80","-2.3","-9.6","-1.8","-6","-5.7","-0.3","-7.6","-6","-7.4","2.1","3.7","-3.3","1.4","0.4"
"2015","150246.59","37209.90","112313.20","761.00","8549.00","2194.20","10098.90","37977.40","601.30","10148.90","20769.20","14505.80","4071.30","2636.20","94073.10","32585.50","61210.30","388.20","7599.00","1419.00","4629.30","14060.20","227.70","8871.10","15034.70","5446.70","1882.50","1651.90","-0.6","-4","1.2","1.2","1.6","0.2","-3.7","-6.3","-7","1.8","8.4","8.3","0.7","0.7"
"2014","167764.30","57388.90","109888.00","768.90","8979.70","2088.60","10243.60","38406.30","611.60","9571.80","18906.10","13755.30","3990.30","2565.80","94620.50","33959.80","60465.30","383.70","7479.30","1415.90","4806.10","15006.60","244.90","8717.50","13870.80","5030.40","1870.00","1640.10","-0.6","-2.5","1.2","1.7","-3.4","-1","2.9","3.6","-3","6.3","-4.9","9.4","0.3","7.2"
"2013","170317.59","63416.00","105484.20","795.70","10122.40","1940.70","9352.30","36214.20","607.20","9204.20","19403.40","11551.40","3861.10","2431.60","95168.60","34837.40","59732.30","377.30","7740.30","1430.70","4669.40","14486.20","252.60","8202.00","14580.10","4599.10","1864.10","1530.50","2.7","1.3","3.2","-5.8","-2.4","3.1","6.4","7.1","-1.3","-1.5","8.3","-8.8","1.1","19.2"
"2012","165203.20","68467.30","95632.70","770.10","8884.20","1997.30","8778.50","31826.90","591.80","8826.10","17506.70","10674.10","3741.40","2035.60","92708.20","34378.50","57857.20","400.40","7933.40","1387.30","4389.30","13529.30","255.90","8322.90","13467.60","5042.10","1844.50","1284.50","1.3","-2.8","2.3","-12.6","0.9","2.5","-2","-0.9","-8.2","14.4","3","1","-0.6","2.6"
"2011","163007.80","73005.90","90806.70","744.20","9219.30","2000.10","8772.30","28994.00","574.90","8653.10","16229.50","10475.60","3222.50","1921.20","91523.90","35383.10","56530.80","458.30","7860.90","1353.30","4478.80","13653.30","278.70","7275.10","13074.90","4989.90","1855.20","1252.40","-0.3","-3.9","3.2","0.3","-0.3","6.4","-8.8","9.8","-8.7","2.8","5.3","-0.7","-2.4","16.8"
"2010","141268.30","56298.60","84749.90","734.80","8503.10","1809.70","9410.50","24911.90","587.10","8185.10","14812.50","10423.90","3771.80","1599.50","91794.10","36806.30","54757.80","456.90","7886.00","1271.70","4913.10","12429.60","305.30","7078.20","12421.10","5022.80","1901.00","1072.10","3.3","2.4","3.2","32.1","1.5","0.1","-28.4","22.7","15.2","0.9","8.1","1.2","6.5","-7.7"
