"Date","GDP at Market Prices – Total ($TT Mn)","GDP at Market Prices - Agriculture (TT$ Mn)","GDP at Market Prices - Mining and Quarrying (TT$ Mn)","GDP at Market Prices - Manufacturing (TT$ Mn)","GDP at Market Prices - Food, Beverages and Tobacco (TT$ Mn)","GDP at Market Prices - Textiles, Clothing, Leather, Wood, Paper and Printing (TT$ Mn))","GDP at Market Prices - Petroleum and Chemical Products (TT$ Mn)","GDP at Market Prices - Other Manufactured Products (TT$ Mn)","GDP at Market Prices - Electricity and Gas (TT$ Mn)","GDP at Market Prices - Water Supply and Sewerage (TT$ Mn)","GDP at Market Prices - Construction (TT$ Mn)","GDP at Market Prices - Trade and Repairs (TT$ Mn)","GDP at Market Prices - Transportation and storage (TT$ Mn)","GDP at Market Prices - Accommodation and Food Service (TT$ Mn)","GDP at Market Prices - Information and Communication (TT$ Mn)","GDP at Market Prices - Financial and Insurance Activities (TT$ Mn)","GDP at Market Prices - Real Estate Activities (TT$ Mn)","GDP at Market Prices - Professional, Scientific and Technical Services (TT$ Mn)","GDP at Market Prices - Administrative and Support Services (TT$ Mn)","GDP at Market Prices - Public Administration (TT$ Mn)","GDP at Market Prices - Education (TT$ Mn)","GDP at Market Prices - Human Health and Social Work (TT$ Mn)","GDP at Market Prices - Arts, Entertainment and Recreation (TT$ Mn)","GDP at Market Prices - Other Service Activities (TT$ Mn)","GDP at Market Prices - Domestic Services (TT$ Mn)","GDP at Constant 2012 Prices - Agriculture (TT$ Mn)","GDP at Constant 2012 Prices - Mining and Quarrying (TT$ Mn)","GDP at Constant 2012 Prices - Manufacturing (TT$ Mn)","GDP at Constant 2012 Prices - Food, Beverages and Tobacco (TT$ Mn)","GDP at Constant 2012 Prices - Textiles, Clothing, Leather, Wood, Paper and Printing (TT$ Mn)","GDP at Constant 2012 Prices - Petroleum and Chemical Products (TT$ Mn)","GDP at Constant 2012 Prices - Other Manufactured Products (TT$ Mn)","GDP at Constant 2012 Prices - Electricity and Gas (TT$ Mn)","GDP at Constant 2012 Prices - Water Supply and Sewerage (TT$ Mn)","GDP at Constant 2012 Prices - Construction (TT$ Mn)","GDP at Constant 2012 Prices - Trade and Repairs (TT$ Mn)","GDP at Constant 2012 Prices - Transportation and storage (TT$ Mn)","GDP at Constant 2012 Prices - Accommodation and Food Service (TT$ Mn)","GDP at Constant 2012 Prices - Information and Communication (TT$ Mn)","GDP at Constant 2012 Prices - Financial and Insurance Activities (TT$ Mn)","GDP at Constant 2012 Prices - Real Estate Activities (TT$ Mn)","GDP at Constant 2012 Prices - Professional, Scientific and Technical Services (TT$ Mn)","GDP at Constant 2012 Prices - Administrative and Support Services (TT$ Mn)","GDP at Constant 2012 Prices - Public Administration (TT$ Mn)","GDP at Constant 2012 Prices - Education (TT$ Mn)","GDP at Constant 2012 Prices - Human Health and Social Work (TT$ Mn)","GDP at Constant 2012 Prices - Arts, Entertainment and Recreation (TT$ Mn)","GDP at Constant 2012 Prices - Other Service Activities (TT$ Mn)","GDP at Constant 2012 Prices - Domestic Services (TT$ Mn)","GDP at Constant 2012 Prices - (TT$ Mn)","Real GDP Growth - Agriculture (%)","Real GDP Growth - Mining and Quarrying (%)","Real GDP Growth - Manufacturing (%)","Real GDP Growth - Food, Beverages and Tobacco (%)","Real GDP Growth - Textiles, Clothing, Leather, Wood, Paper and Printing (%)","Real GDP Growth - Petroleum and Chemical Products (%)","Real GDP Growth - Other Manufactured Products (%)","Real GDP Growth - Electricity and Gas (%)","Real GDP Growth - Water Supply and Sewerage (%)","Real GDP Growth - Construction (%)","Real GDP Growth - Trade and Repairs(%)","Real GDP Growth - Transportation and storage (%)","Real GDP Growth - Accommodation and Food Service (%)","Real GDP Growth - Information and Communication (%)","Real GDP Growth - Financial and Insurance Activities (%)","Real GDP Growth - Real Estate Activities (%)","Real GDP Growth - Professional, Scientific and Technical Services (%)","Real GDP Growth - Administrative and Support Services (%)","Real GDP Growth - Public Administration (%)","Real GDP Growth - Education (%)","Real GDP Growth - Human Health and Social Work (%)","Real GDP Growth - Arts, Entertainment and Recreation (%)","Real GDP Growth - Other Service Activities (%)","Real GDP Growth - Domestic Services (%)","Real GDP Growth - Total (%)"
"2019","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2018","161200.2","1666.4","22444.4","30423.6","9466.1","1171.4","16966.8","2819.3","3445.9","2010.5","9381.3","32986.5","5873.7","2536.8","3614.4","11853.6","3232.6","3541.3","4635.6","14094.9","4124.9","777.2","425.2","846.3","290.7","1327.1","29102","30330.2","5785.5","1016.2","21404","2124.5","5374.6","1979.4","8751","27787.2","5282","2096.4","3976.7","10627.4","3119.3","2733.7","3794.2","11599.9","3873.1","611.7","392.9","624.8","172.4","156010.7","-9.6","-4.4","0.3","16.8","-6.8","-2.4","-6","2.4","1.9","-0.1","-1.5","3.5","-2.2","-0.2","0","0.5","11.1","0","-1.2","-0.2","0.2","0.3","0.3","1.1","-0.2"
"2017","152368.1","1881.4","18759.8","27655.4","7985.3","1222.1","15548.8","2899.2","2632.4","2066","9119.6","33386.9","5573.6","2536.4","3720.7","11815.4","3185.4","3161.2","4595.4","14273.2","3942.7","780.3","420.5","836","287.4","1468.2","30445","30242.9","4955.3","1090.6","21936.7","2260.4","5250.7","1942.8","8764","28204.8","5104.9","2142.8","3983","10624.5","3104.2","2460.9","3793.5","11746.6","3880.7","610.4","391.7","623","170.4","156394.2","7.9","0.2","-2.4","-12.2","-4.8","-0.1","1.6","8.6","-1.5","-1.8","-10.7","2","-1.3","-1.6","4.6","0.5","3.6","0","0.6","0.3","0.2","0.2","0.2","1.1","-2.3"
"2016","148617.2","1678.6","14568.2","27982.8","9587.9","1236.9","14805.9","2352","1501.4","2405.4","9281.5","34886.6","5388.4","2484.7","3920.5","10046.8","3129.9","3020.6","4551.2","14326.2","4099.6","741.4","435.4","827.7","284.2","1361.2","30387.5","30975.2","5641.4","1145","21964.5","2224.2","4835.2","1972","8923.5","31577.3","5006.5","2171","4047.5","10160.4","3090","2374.9","3795.3","11678.3","3870.5","609.1","390.9","621.9","168.5","160095.8","-7.3","-13.2","-2.4","9.3","-2.1","-4.7","-6.2","-8.1","1.7","-4.2","-7","-17.6","-2","-2.1","2.5","0.5","-2.4","1.8","2.1","-1.1","0.3","0.3","0.8","1.2","-6.3"
"2015","159836.1","1678.1","21984.3","24523","7709.6","1248.4","13411.4","2153.5","3740.1","2296.6","9747.8","37374","5259","2506.8","4052.7","10048.1","3084.4","3070.4","4344.8","14228.2","4998.6","777.4","496.7","815.3","273.2","1468.4","35006.5","31740.8","5160.6","1169.8","23039.8","2370.6","5260.9","1939.8","9318.6","33959.4","6076.3","2215.8","4136.3","9909.5","3075.7","2433","3727.5","11441.3","3915","607.3","389.7","617","166.5","170853.5","35.9","-3.2","2.2","2.6","-2.6","2.1","4.2","1.8","1.5","-2.7","5.4","-4.5","-1.5","2.4","3.4","0.5","-14.3","4","1.4","2.1","0.3","0.3","0","1.2","1.8"
"2014","176992.7","1304.9","37872.6","28410.9","5960.6","1262.8","18602.7","2584.9","6156","2099.2","9723.9","38515.4","5075.1","2513.5","4429","9911.6","3047.8","3040","3898.3","12608.8","3691.4","695.4","494.4","744.9","239.8","1080.8","36161.7","31068","5029.8","1200.4","22561.8","2275.9","5169","1911.3","9574.5","32208.6","6363.4","2248.7","4037.9","9582.2","3060.4","2839.9","3582.6","11288.7","3834.3","605.3","388.4","617.1","164.5","167794.3","3","-1","-2.5","-2.8","-1.1","-3.2","5.4","-3.6","-5.5","1.3","1.1","4.5","0.9","1","0.2","0.3","2.7","-12.4","3.7","2.4","0.4","0.4","1.1","1.3","-0.9"
"2013","175679.9","1270.4","40385.8","26798.5","5696.7","1196.7","17087.9","2817.2","5890.9","2324.5","9358.1","36780.1","5549.3","2305.3","4040.7","9882.6","3039.8","2896.6","4338","11690.6","3765.1","647.7","467.5","713.4","225.7","1049.1","36514.4","31866","5175.6","1213.9","23318.1","2158.4","5359.8","2021.9","9451.7","31859.3","6087.4","2227.8","3999.7","9562","3051.2","2766.2","4087.9","10888.1","3744.1","603.2","387.1","610.4","162.4","169339.6","-0.9","2","0.3","-1.1","11.4","0.5","-4.3","2.2","-3.3","7.7","0.6","10.8","1.8","2.1","2.1","0.5","14.1","26.6","1.2","2.2","0.4","0.4","0.6","1.3","2.2"
"2012","165647.2","1058.5","35808.3","31767.2","5231.1","1089.3","23190.9","2255.8","5244","2091.5","8778.5","31683","5494.6","2189.4","3917.7","9361.4","3037.1","2425","3229.7","10758.4","3662.5","600.5","385.4","606.5","160.2","1058.5","35808.3","31767.2","5231.1","1089.3","23191","2255.8","5244","2091.5","8778.5","31683","5494.6","2189.4","3917.7","9361.4","3037.1","2425","3229.7","10758.4","3662.5","600.5","385.4","606.5","160.2","165647.2","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2011","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2010","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
