"Date","QEA Index (2010 = 100)","QEA Index (2010 = 100) - Energy","QEA Index (2010 = 100) - Other Petroleum","QEA Index (2010 = 100) - Petrochemicals","QEA Index (2010 = 100) - Non-Energy","QEA Index (2010 = 100) - Agriculture","QEA Index (2010 = 100) - Manufacturing","QEA Index (2010 = 100) - Water and Electricity","QEA Index (2010 = 100) - Construction","QEA Index (2010 = 100) - Distribution","QEA Index (2010 = 100) - Finance","QEA Index (2010 = 100) - Transport","QEA Index (2010 = 100) - Government","QEA Index (2010 = 100) - Other Services","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Agriculture - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Construction - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Distribution - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Electricity & Water - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Finance Insurance & Real Estate - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Government - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Manufacturing - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Non-Petroleum Sector - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Other Services - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Petroleum Sector - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Petrochemicals - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Other Petroleum - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Total - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Transport Storage & Communication - 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) (2010 = 100)","Per Cent Changes in Real Economic Activity (year-on-year) - Petroleum (2010 = 100)","Per Cent Changes in Real Economic Activity (year-on-year) - Other Petroleum 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Petrochemicals 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Non Petroleum 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Agriculture 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Manufacturing 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Construction 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Electricity and Water 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Distribution 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Transport 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Finance 2010 = 100","Real GDP Growth (year-on-year) - Government 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Other Services 2010 = 100","Index of Productivity (1995 =100)"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Mar-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Dec-2019","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","384.1"
"Sep-2019","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","441.8"
"Jun-2019","92.5","77.9","74.7","93.8","102.8","105.6","80.3","108.4","88.9","113.9","118.8","105.8","98.6","101.3","4","-5","1","1.6","1.6","-5","8.9","0.8","0.6","-5.3","-0.8","-6.4","-1.5","3.5","-1.9","-4.8","-7.9","9.2","-0.3","-0.9","-2.5","-3.5","-1.2","1.6","-2.7","1.6","0","-0.2","463.4"
"Mar-2019","93.9","82.3","79.8","94.5","102.1","101.6","73.8","106.7","93.6","112.8","117","102.2","103.8","100.7","12.2","10.1","2.9","-0.8","0.1","4.2","-13.7","1","0.7","4.7","9.1","3.6","2.3","-1.8","-1.2","-1.9","-3.1","3.3","-0.8","-4.4","-2.7","2.9","-2.4","-0.7","-5.5","1.1","0","-0.8","437.2"
"Dec-2018","91.7","78.7","77","86.7","101","90.5","85.5","107.6","85","109.6","116.8","104.1","99.6","100","-11.6","1.2","-2.7","-1.2","0.4","3","6.3","-0.3","-0.2","0.3","7.1","-1.2","-0.1","-2.8","-2.3","-2.5","-2.3","-3.7","-2.1","-9","-2.6","-4.7","-2.5","-1.9","-5.3","0.1","0","-1","411.1"
"Sep-2018","91.9","78.5","78","80.9","101.3","102.4","80.4","108.9","84","112.6","116.4","107.1","96.7","100.2","-3.9","-9","0.3","-1.2","-0.4","-2","-2.4","-1.7","-1.3","-4.2","-5.8","-3.8","-2.6","-1.7","-1.8","-3.8","-2.2","-10.8","-0.7","3.3","-3.1","-6.4","-1.2","1.6","-0.5","-0.7","0","-0.7","468.8"
"Jun-2018","94.3","81.9","81.1","85.8","103.1","106.6","82.4","110.3","92.2","112.2","116.9","108.9","98.6","101.5","0.3","1.3","-1.1","0.6","1.1","-5","8.7","0.2","0","-2.4","-6.2","-1.6","-0.8","0.7","3","8.9","11","0.3","-0.1","0.2","-1.7","3.4","-0.2","0.1","1.6","-0.2","-3.5","-0.5","399.1"
"Mar-2018","95","83.9","82.4","91.5","102.9","106.2","75.8","109.6","91.1","113.5","115.6","108.2","103.8","101.5","6.8","2.3","1.7","-0.7","-1","4.2","-13.6","-0.3","0.5","4","1.6","4.6","1.2","-1.5","2.6","9.2","8.2","13.7","-0.9","-6.9","-6.8","-4.2","0.4","2.1","0.7","-1.7","-0.6","-0.5","395.4"
