"Date","Index of Retail Prices - Clothing & Footwear - (Jan. 15 = 100)","Index of Retail Prices - Communication (Jan. 15 = 100)","Index of Retail Prices - Education (Jan. 15 = 100)","Index of Retail Prices - Food - (Jan. 15 = 100)","Index of Retail Prices - Health (Jan. 15 = 100)","Index of Retail Prices - Housing - (Jan. 15 = 100)","Index of Retail Prices - Rent - (Jan. 15 = 100)","Index of Retail Prices - Imputed Rent - (Jan. 15 = 100)","Index of Retail Prices - Water','Electricity','Gas and Other Fuels - (Jan. 15 = 100)","Index of Retail Prices - Core (Jan. 15 = 100)","Index of Retail Prices - Transportation (Jan. 15 = 100)","Index of Retail Prices - All Items - (Jan. 15 = 100)","Index of Retail Prices - Alcoholic Beverages and Tobacco (Jan. 15 = 100)","Index of Retail Prices - Furnishings','Household Equipment and Routine Maintenance of the House (Jan. 15 = 100)","Index of Retail Prices - Recreation and Culture (Jan. 15 = 100)","Index of Retail Prices - Hotels','Cafes and Restaurants (Jan. 15 = 100)","Index of Retail Prices - Miscellaneous Goods and Services (Jan. 15 = 100)","Monthly Percent Change in the Index of Retail Prices - Core (%)","Per Cent Change in the Index of Retail Prices - Inflation Rate (%)","Year on Year Percent Change in the Index of Retail Prices - Core (%)","Year on Year Percent Change in the Index of Retail Prices - Inflation Rate (%)","Index of Retail Prices - Food (Year-On-Year Per Cent Change)","Index of Retail Prices - Bread and Cereals (Jan. 15 = 100)","Index of Retail Prices - Meat (Jan. 15 = 100)","Index of Retail Prices - Fish (Jan. 15 = 100)","Index of Retail Prices - Milk','Cheese and Eggs (Jan. 15 = 100)","Index of Retail Prices - Oils and Fats (Jan. 15 = 100)","Index of Retail Prices - Fruits (Jan. 15 = 100)","Index of Retail Prices - Vegetables (Jan. 15 = 100)","Index of Retail Prices - Non-Alcoholic Drinks (Jan. 15 = 100)","Index of Retail Prices - Bread and Cereals (Year-On-Year Per Cent Change)","Index of Retail Prices - Meat (Year-On-Year Per Cent Change)","Index of Retail Prices - Fish (Year-On-Year Per Cent Change)","Index of Retail Prices - Milk','Cheese and Eggs (Year-On-Year Per Cent Change)","Index of Retail Prices - Oils and Fats (Year-On-Year Per Cent Change)","Index of Retail Prices - Fruits (Year-On-Year Per Cent Change)","Index of Retail Prices - Vegetables (Year-On-Year Per Cent Change)","Index of Retail Prices - Non-Alcoholic Drinks (Year-On-Year Per Cent Change)","Index of Retail Prices - Alcoholic Beverages and Tobacco (Year-On-Year Per Cent Change)","Index of Retail Prices - Clothing & Footwear (Year-On-Year Per Cent Change)","Index of Retail Prices - Housing - (Year-On-Year Per Cent Change)","Index of Retail Prices - Rent - (Year-On-Year Per Cent Change)","Index of Retail Prices - Imputed Rent - (Year-On-Year Per Cent Change)","Index of Retail Prices - Water','Electricity','Gas and Other Fuels - (Year-On-Year Per Cent Change)","Index of Retail Prices - Furnishings','Household Equipment and Routine Maintenance of the House (Year-On-Year Per Cent Change)","Index of Retail Prices - Health (Year-On-Year Per Cent Change)","Index of Retail Prices - Transport- (Year-On-Year Per Cent Change)","Index of Retail Prices - Communication (Year-On-Year Per Cent Change)","Index of Retail Prices - Recreation and Culture (Year-On-Year Per Cent Change)","Index of Retail Prices - Education (Year-On-Year Per Cent Change)","Index of Retail Prices - Hotels','Cafes and Restaurants (Year-On-Year Per Cent Change)","Index of Retail Prices - Miscellaneous Goods and Services (Year-On-Year Per Cent Change)","Index of Retail Prices - All Items - (Jan. 15 = 100) - Tobago","Index of Retail Prices - Food - (Jan. 15 = 100) - Tobago","Index of Retail Prices - Core - (Jan. 15 = 100) - Tobago","Index of Retail Prices - All Items - (Year-On-Year Per Cent Change) - Tobago","Index of Retail Prices - Food - (Year-On-Year Per Cent Change) - Tobago","Index of Retail Prices - Core - (Year-On-Year Per Cent Change) - Tobago","WTI Crude Oil Price (US$/bbl)","Henry Hub Natural Gas Price (US$/mmbtu)","Price of Ammonia (US$/Tonne)","Price of Methanol (US$/Tonne)","Price of Motor Gasoline (US ¢/gallon)","Price of Natural Gasoline","Price of Propane (US ¢/gallon)","Price of Urea (US$/MT)","Energy Commodity Price Index (January 2007=100)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","40.8","1.7","160","263.5","116.6","80.8","49.1","214","59.9"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","38.3","1.6","169.8","293","109.5","73.3","49.6","188","57.3"
"May-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","28.6","1.8","186.6","278","83","53.6","41.7","206","49.5"
"Apr-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","16.5","1.7","201.3","277.5","54.6","31.9","32.7","224","41.6"
"Mar-2020","94.7","106.8","102.5","117.4","132.7","104.2","107.0","104.4","100.7","107.3","107","109","111.8","104.3","109.5","116.4","112.1","0","0.1","0.2","0.4","1.2","111","119.6","122.2","109.8","117.6","116.8","119.8","120.1","0.6","-2.9","-1.6","2.6","-0.1","-0.6","7.9","0.7","3.4","-3.5","0.8","2.4","0.8","0.0","1.7","1.1","-1.4","-0.1","-0.6","0","2.2","1.9","107.4","116.5","106.1","1.3","-0.2","1.6","29.9","1.8","205","308","83.8","57","29.2","224","53"
"Feb-2020","94.4","106.8","102.5","116.6","132.4","104.2","107.0","104.4","100.7","107.2","107","108.9","111.5","104.3","109.5","116.4","112.1","0","0","0.2","0.5","1","110.7","119.8","119.9","109.5","117.8","114.4","119.2","119.7","0.5","2.1","0.1","2","0.4","-0.4","1.6","0.9","3.5","-3.8","0.8","2.4","0.8","0.0","1.7","1.5","-1.4","-0.1","-0.6","0","2.2","1.9","107.4","116.0","106.1","1.1","-1.8","1.6","50.5","1.9","205","299","145.3","109","39.7","226.6","70.6"
"Jan-2020","95.3","106.8","102.5","116.5","132.2","104.2","107.0","104.4","100.7","107.3","107","108.9","111.1","104.3","109.5","116.4","112.1","0","0.3","0.3","0.4","0.4","110.3","120.4","119.6","109.5","117.3","112","119.5","119.5","0.5","1.2","1.4","2.5","0.2","-5.5","-0.7","1","3","-3.3","0.8","2.4","0.8","0.0","1.7","1.9","-1.4","-0.1","-0.6","0","2.2","1.9","107.5","116.2","106.1","1.2","-1.6","1.6","57.5","2","209","305","158.7","122.3","43","234.5","76.8"
"Dec-2019","96.1","106.8","102.5","114.9","130.9","104","106.3","104.2","100.7","107.3","107.3","108.6","110.6","104.4","109.7","116.5","111.9","0","0","0.6","0.4","-1","109.7","118.1","115.7","109.1","116.7","116.9","115.7","119","-0.1","3.2","0.7","2.2","0","-0.4","-9.3","0.9","3","-2.7","0.7","1.8","0.6","0.0","1.1","4.9","-1.1","0.3","-0.3","0","2.5","3.1","107.4","116.5","106.0","1.4","-1.5","1.9","59.8","2.2","210","304.5","163","128.6","49.6","234.5","80.7"
