"Date","Central Government Total Revenue (TT$Mn)","Central Government Current Revenue (TT$Mn)","Central Government Tax Revenue (TT$Mn)","Central Government Taxes on Income and Profits (TT$Mn)","Central Government Taxes on Property (TT$Mn)","Central Government Taxes on Goods and Services (TT$Mn)","Central Government Taxes on International Trade (TT$Mn)","Central Government Tax Revenue - VAT (TT$Mn)","Central Government Non-Tax Revenue (TT$Mn)","Central Government Oil Revenue (TT$Mn)","Central Government Oil Sector - Tax Revenue (TT$Mn)","Central Government Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Oil Revenue (TT$Mn)","Central Government Non-Oil Sector - Tax Revenue (TT$Mn)","Central Government Non-Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Energy Revenue (TT$Mn)","Central Government Energy Sector - Tax Revenue (TT$Mn)","Central Government Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Energy Revenue (TT$Mn)","Central Government Non-Energy Sector - Tax Revenue(TT$Mn)","Central Government Non-Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Capital Revenue (TT$Mn)","Central Government Total Expenditure (TT$Mn)","Central Government Current Expenditure (TT$Mn)","Central Government Expenditure on Wages and Salaries (TT$Mn)","Central Government Expenditure on Goods & Services (TT$Mn)","Central Government Expenditure on Transfers and Subsidies (TT$Mn)","Central Government Expenditure on Subsidies (TT$Mn)","Central Government Transfers Abroad (TT$Mn)","Central Government Transfers to Non-Profit Insitutions (TT$Mn)","Central Government Transfers to Educational Insitutions (TT$Mn)","Central Government Transfers to Households (TT$Mn)","Central Government Transfers to State Enterprises (TT$Mn)","Central Government Transfers to Statutory Boards and Similar Bodies (TT$Mn)","Central Government Expenditure on Interest Payments (TT$Mn)","Central Government Capital Expenditure (TT$Mn)","Current Account Surplus(+) / Deficit (-) (TT$Mn)","Non-Energy Fiscal Balance (TT$Mn)","Primary Balance (TT$Mn)","Central Gov't Overall Fiscal Balance (TT$Mn)","Total Revenue as a Per Cent of GDP","Total Expenditure as a Per Cent of GDP","Current Account Surplus(+) / Deficit (-) as a Per Cent of GDP","Non-Energy Fiscal Balance as a Per Cent of GDP","Primary Balance as a Per Cent of GDP","Overall Fiscal Balance as a Per Cent of GDP"
"2019","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"2018","44540.1","43600.2","31272.9","20560.9","3.6","8152.1","2555.8","6279.5","12327.6","6349.2","3129.5","3219.4","37250.9","28142.7","9108.1","10964.1","7744.7","3219.4","32637.8","23528.2","9108.1","939.9","48720.9","45137.4","9124.8","6183.3","25851.6","338.4","203.4","205.4","1458.3","9013.3","2462.6","6262.3","3977.6","3583.6","-1537.1","-15143.3","-203.2","-4180.8","27.6","30.2","-1","-9.2","-0.1","-2.6"
"2017","37223.4","37767.8","28297.7","17971.4","3.1","9002.9","2640.7","5736.6","8201.6","4968.1","2138","2798.5","32799.6","26159.7","5391.7","8821","6022.7","2798.5","27666.5","22275.2","12281.5","1125.3","48529.9","45934.4","9943.2","5569.4","25783.1","254.8","143.5","195.7","1142.5","8900.1","2063.4","6354.4","4569.8","3362.7","-8802.5","-20127.7","-6736.6","-10404","24.4","31.9","-5.8","-13.2","-4.4","-7.4"
"2016","41752.5","35653.5","28475.2","17069.6","2.9","8512.8","2889.9","6522.3","7178.3","3263.5","1625.1","1638.4","32390","26850.1","8204.4","6361","4722.6","1638.4","35313.6","23752.6","8204.4","3434.5","51381","47267.2","9661.4","7228.6","26657.9","300.2","271.7","253.4","1529.7","9386.7","2330.5","6726.1","3719.3","4113.8","-11613.7","-12632.8","-5909.1","-9628.5","28.1","34.6","-7.8","-8.5","-4","-6.5"
"2015","55703.4","49841.6","39517.1","26342.8","3.5","9930.8","3240","7880.2","10324.4","10530.5","8856.4","1674.1","39311.1","30660.8","8650.4","14513.8","12839.8","1674.1","41189.6","26677.4","14512.2","5861.8","59516.9","52457.4","10186.9","7855.4","30845.1","262","191.3","289.2","1804.8","13189.1","2079.7","7679.3","3570","7059.4","-2615.8","-12465.4","-243.4","-3813.4","34.9","37.2","-1.6","-7.8","-0.2","-2.4"
"2014","55686.2","55351.9","47610.4","36976.3","3","7873.6","2757.6","5879.1","7741.5","21025.6","18866.2","2159.4","34326.3","28744.3","5582.1","27913","25753.6","2159.4","27773.2","21856.8","5916.4","334.3","63950.4","55069.4","8653","8065.5","35327.7","307","980","332.4","1767.7","14263.1","3572.1","7199","3023.2","8881","282.5","-35842.8","-5240.9","-8264.1","31.5","36.1","0.2","-20.3","-3","-4.7"
"2013","57617.8","56048.5","45329.5","34552.8","4.3","8035.6","2736.8","6100.3","10719","20837.8","17472.7","3365.1","35210.7","27856.7","7353.9","25878.1","22513","3365.1","31739.7","22816.5","8923.3","1569.3","58369.8","50333.5","9469.5","7530.7","30315","210.1","283.5","305.3","1787.1","11742.5","2231","7106.4","3018.2","8036.3","5715","-25060.8","2266.3","-752","32.8","33.2","3.3","-14.3","1.3","-0.4"
"2012","47062","47030.1","41048.5","30345.2","4.1","8325","2374.1","6532.5","5981.6","17349.2","14890.3","2458.9","29680.9","26158.2","3522.7","23467.8","21008.9","2458.9","23594.2","20039.6","3554.6","31.9","52284.2","45193.2","7291.9","6994.2","28161.4","234.2","1029.1","269.7","1835.2","8733.5","4127.2","6368.3","2745.7","7091","1836.9","-28658.1","-2476.5","-5222.2","28.4","31.6","1.1","-17.3","-1.5","-3.2"
"2011","50084.5","49784.2","44452.8","35413.1","10.3","6876.6","2152.8","5215.8","5331.4","23471","20444.8","3026.3","26313.2","24008","2305.2","29709.6","26683.4","3026.3","20374.8","17769.4","2605.4","300.3","48993.5","42105","7246","6524.7","25491.4","198.2","224.5","243.8","1855.1","8677.2","3501.4","5701","2842.8","6888.5","7679.2","-28318.4","3933.8","1091","30.7","30.1","4.7","-17.4","2.4","0.7"
"2010","45064","44835.5","38258.4","28955.5","17.8","7299","1986.1","5687.3","6577.1","19216.4","16506","2710.5","25619","21752.4","3866.6","23881.4","21170.9","2710.5","21182.6","17087.4","4095.1","228.5","43606.5","37700","6676.2","6254.1","21684.4","216","230.6","223.6","1575.4","6289.1","1601.3","5481.8","3085.3","5906.5","7135.4","-22195.5","4542.7","1457.4","31.9","30.9","5.1","-15.7","3.2","1"
