"Date","Central Government Total Revenue (TT$Mn)","Central Government Current Revenue (TT$Mn)","Central Government Tax Revenue (TT$Mn)","Central Government Taxes on Income and Profits (TT$Mn)","Central Government Taxes on Property (TT$Mn)","Central Government Taxes on Goods and Services (TT$Mn)","Central Government Taxes on International Trade (TT$Mn)","Central Government Tax Revenue - VAT (TT$Mn)","Central Government Non-Tax Revenue (TT$Mn)","Central Government Oil Revenue (TT$Mn)","Central Government Oil Sector - Tax Revenue (TT$Mn)","Central Government Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Oil Revenue (TT$Mn)","Central Government Non-Oil Sector - Tax Revenue (TT$Mn)","Central Government Non-Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Energy Revenue (TT$Mn)","Central Government Energy Sector - Tax Revenue (TT$Mn)","Central Government Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Energy Revenue (TT$Mn)","Central Government Non-Energy Sector - Tax Revenue(TT$Mn)","Central Government Non-Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Capital Revenue (TT$Mn)","Central Government Total Expenditure (TT$Mn)","Central Government Current Expenditure (TT$Mn)","Central Government Expenditure on Wages and Salaries (TT$Mn)","Central Government Expenditure on Goods & Services (TT$Mn)","Central Government Expenditure on Transfers and Subsidies (TT$Mn)","Central Government Expenditure on Subsidies (TT$Mn)","Central Government Transfers Abroad (TT$Mn)","Central Government Transfers to Non-Profit Insitutions (TT$Mn)","Central Government Transfers to Educational Insitutions (TT$Mn)","Central Government Transfers to Households (TT$Mn)","Central Government Transfers to State Enterprises (TT$Mn)","Central Government Transfers to Statutory Boards and Similar Bodies (TT$Mn)","Central Government Expenditure on Interest Payments (TT$Mn)","Central Government Capital Expenditure and Net Lending (TT$Mn)","Current Account Surplus(+) / Deficit (-) (TT$Mn)","Non-Energy Fiscal Balance (TT$Mn)","Primary Balance (TT$Mn)","Central Gov't Overall Fiscal Balance (TT$Mn)","Average Discount Rate - High (%)","Average Discount Rate - Low (%)"
"Sep-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Aug-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jul-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jun-2020","2626.4","2626.4","2468.5","1610.2","0.1","694.3","163.9","578","157.9","138.7","89.5","49.2","2487.7","2379.1","108.7","486.4","437.2","49.2","2140","2031.3","108.7","0","4814.8","4431.6","745.7","405.5","2961.5","38.3","4.6","26.1","126.8","1043.5","263.5","510.7","319","383.1","-1805.2","-2674.8","-1869.3","-2188.4","n.d","n.d"
"May-2020","2036.1","2033.6","1499.4","656.8","0","718.1","124.5","642.1","534.2","518","72.7","445.3","1515.6","1426.7","88.9","543.5","98.2","445.3","1490.1","1401.2","88.9","2.5","4099.4","3913.5","729.7","358.3","2456.7","7.9","11.7","15","85.6","738.7","367.9","584.8","368.9","185.9","-1879.9","-2606.8","-1694.4","-2063.3","n.d","n.d"
"Apr-2020","2869.9","2566.6","2118","1516.5","0","457.1","144.4","370.2","448.6","913.6","503.8","409.8","1653.1","1614.3","38.8","971.9","562.1","409.8","1594.7","1555.9","38.8","303.3","3902.7","3562.3","747.2","326","2191.2","25.5","4.3","16.6","89.6","932.3","196.7","481.6","297.9","340.4","-995.7","-2004.7","-734.9","-1032.8","5.18","3.68"
"Mar-2020","2980.2","2980","2726.3","1971.5","0.1","564.7","190","420.2","253.7","89.7","77.3","12.4","2890.3","2649","241.3","562.1","549.7","12.4","2417.9","2176.6","241.3","0.2","3810.6","3484.8","767.9","478.2","2082.4","15","0.6","15.9","127.7","816.8","134.2","504","156.3","325.9","-504.8","-1392.5","-674.2","-830.4","5.72","4.23"
"Feb-2020","1424.3","1424.3","1277.2","542.4","0.1","562.2","172.6","420.9","147.1","46.1","36","10.2","1378.1","1241.3","136.9","49.6","39.4","10.2","1374.7","1237.8","136.9","0","3833.3","3570.7","762","348.8","1873","18.7","12.4","22.8","96.1","725.9","173.6","453.1","587","262.6","-2146.4","-2458.7","-1822.1","-2409.1","5.73","5.18"
"Jan-2020","3083.1","3006.8","2219.8","1223.8","0.1","793.9","201.9","666.2","787","864.1","191.8","672.3","2142.7","2028","114.7","986.1","313.8","672.3","2020.7","1906","114.7","76.3","4843.7","4264.6","786.9","761.3","2270.8","40.3","153.1","11.4","84.1","767.3","111","583.5","445.7","579.1","-1257.9","-2746.7","-1315","-1760.7","5.36","5.18"
"Dec-2019","5975.7","5975.7","3672.5","2883.9","0.1","571.5","217","396.8","2303.2","892.9","544.1","348.8","5082.7","3128.4","1954.4","1423.6","1074.8","348.8","4552.1","2597.7","1954.4","0","3742.4","3585.2","865.5","348.6","2257.6","3.9","7.2","13.4","119.2","890.3","348.8","473.2","113.5","157.2","2390.5","809.7","2346.8","2233.3","5.72","5.72"
