"Date","Central Government Total Revenue (TT$Mn)","Central Government Curent Revenue (TT$Mn)","Central Government Tax Revenue (TT$Mn)","Central Government Taxes on Income and Profits (TT$Mn)","Central Government Taxes on Property (TT$Mn)","Central Government Taxes on Goods and Services (TT$Mn)","Central Government Taxes on International Trade (TT$Mn)","Central Government Tax Revenue - VAT (TT$Mn)","Central Government Non-Tax Revenue (TT$Mn)","Central Government Oil Revenue (TT$Mn)","Central Government Oil Sector - Tax Revenue (TT$Mn)","Central Government Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Oil Revenue (TT$Mn)","Central Government Non-Oil Sector - Tax Revenue (TT$Mn)","Central Government Non-Oil Sector - Non-Tax Revenue (TT$Mn)","Central Government Energy Revenue (TT$Mn)","Central Government Energy Sector - Tax Revenue (TT$Mn)","Central Government Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Non-Energy Revenue (TT$Mn)","Central Government Non-Energy Sector - Tax Revenue(TT$Mn)","Central Government Non-Energy Sector - Non-Tax Revenue (TT$Mn)","Central Government Capital revenue (TT$Mn)","Central Government Total Expenditure (TT$Mn)","Central Government Curent Expenditure (TT$Mn)","Central Government Expenditure on Wages and Salaries (TT$Mn)","Central Government Expenditure on Goods and Services (TT$Mn)","Central Government Expenditure on Transfers and Subsidies (TT$Mn)","Central Government Expenditure on Subsidies (TT$Mn)","Central Government Transfers Abroad (TT$Mn)","Central Government Transfers to Non-Profit Insitutions (TT$Mn)","Central Government Transfers to Educational Insitutions (TT$Mn)","Central Government Transfers to Households (TT$Mn)","Central Government Transfers to State Enterprises (TT$Mn)","Central Government Transfers to Statutory Boards and Similar Bodies (TT$Mn)","Central Government Expenditure on Interest Payments (TT$Mn)","Central Government Capital Expenditure (TT$Mn)","Current Account Surplus(+) / Deficit (-) (TT$Mn)","Non-Energy Fiscal Balance (TT$Mn)","Primary Balance (TT$Mn)","Overall Fiscal Balance (TT$Mn)"
"Jun-2020","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Mar-2020","7487.5","7411","6223.3","3737.7","0.4","1920.8","564.5","1507.3","1187.7","999.9","305","694.9","6411.1","5918.3","492.8","1597.7","902.8","694.9","5813.3","5320.5","492.8","76.5","12487.7","11320.1","2316.8","1588.3","6226.1","74","166.1","50.1","307.8","2310","418.8","1540.7","1188.9","1167.6","-3909.1","-6597.9","-3811.3","-5000.2"
"Dec-2019","9989.9","9989.1","7017.6","4292.2","0.7","1983.3","741.5","1495.9","2971.4","1747.2","798.4","948.8","8241.9","6219.3","2022.6","2302.5","1353.7","948.8","7686.6","5664","2022.6","0.8","10376.8","10108.4","2340.5","781.4","6278.5","46.6","9.1","44.4","339.2","2292.7","670.7","1396.6","707.9","268.3","-119.3","-2689.3","321.1","-386.8"
"Sep-2019","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d"
"Jun-2019","9516.9","9515.8","7678.3","5353.2","0.5","1706.6","618","1243","1837.5","2107","820.1","1286.8","7408.9","6858.2","550.7","3270.5","1983.6","1286.8","6245.3","5694.6","550.7","1","12485","11295.8","2252.9","1337.8","6879.5","74.3","90.5","53.2","300.3","2513","617.7","1399.5","825.7","1189.2","-1780","-6238.7","-2142.4","-2968.1"
"Mar-2019","10220.7","9359.1","7967.3","5405.3","0.6","1986.2","575.3","1566.7","1391.8","1776.8","925.5","851.4","7582.3","7041.9","540.4","3122","2270.6","851.4","6237.2","5696.7","540.4","861.5","13014.6","12068.5","2229.6","1586.7","7222.6","90.2","1.5","44.8","357.5","2293.5","1599.6","1596.8","1029.7","946.1","-2709.4","-5916","-1764.3","-2793.9"
"Dec-2018","11336.3","11227.4","7838.4","5227.8","0.5","1855.6","754.6","1395.8","3389.1","1351.9","774.3","577.5","9875.6","7064","2811.6","2481.2","1903.8","577.5","8746.2","5934.6","2811.6","108.9","10393.5","10096.8","2270.4","777.5","6242","53.2","4.1","36.4","295.7","2237.7","629.6","1583.1","806.8","296.7","1130.7","-1538.5","1749.6","942.8"
"Sep-2018","13011.6","12244.9","7788.1","5022.5","2.2","2111.9","651.4","1604.7","4457","1814.4","1029.5","784.9","10430.6","6758.5","3672.1","2892.9","2107.9","784.9","9352.1","5680.2","3672.1","766.5","13879","12514.9","2318.1","2484.3","6491.3","115.1","96.5","70.9","401","2243.8","678.7","1483.6","1221.3","1364.1","-270","-3760.4","353.9","-867.4"
"Jun-2018","10681.7","10619.1","8185","5554.4","0.6","2021.1","608.5","1556.2","2434.1","2230.4","769.5","1460.9","8388.3","7415.1","973.2","3688.5","2227.7","1460.9","6930.5","5957.3","973.2","62.9","12029.5","10942.3","2281.4","1375.6","6473.3","81.1","46.4","47","342.4","2225","689.4","1420.8","812.1","1087.2","-323.2","-5036.1","-535.7","-1347.8"
"Mar-2018","9510.5","9508.8","7461.4","4756.2","0.3","2163.5","541.3","1722.8","2047.4","952.5","556.2","396.1","8556.4","6905.1","1651.2","1901.5","1505.3","396.1","7609","5956.1","1651.2","1.6","12418.9","11583.4","2254.9","1545.9","6645","89","56.4","51.1","419.2","2306.8","464.9","1774.8","1137.4","835.6","-2074.6","-4808.3","-1771","-2908.4"
"Dec-2017","9045.4","9038","8120.8","4796.3","0.6","2578.4","745.2","2064.5","917.3","942","453.8","488.2","8096.1","7667","429.1","2211.8","1723.6","488.2","6826.2","6397.3","429.1","7.4","9273.8","9156.9","2242.7","682.4","5589.4","30","1.3","33.5","138.6","1965.8","538","1451.8","642.5","117","-118.9","-2440.2","414.1","-228.4"
"Sep-2017","10051.5","9419.1","6464.3","4052.3","0.6","1659.9","751.2","1157.6","2954.6","1332.5","476.2","856.5","8086.4","5988.2","2098.4","2138.9","1282.6","856.5","7280","5181.8","5181.8","632.4","13750.1","12026.1","2317.5","1774.2","5998","71","75.6","62.1","228.2","2349.5","463.3","1362.7","1936.5","1723.9","-2607","-5837.7","-1762.1","-3698.6"
"Jun-2017","9470","9467.2","6815.7","4717.6","1.3","1521.5","575.3","1058.2","2651.5","1706.5","545.7","1160.8","7760.7","6269.9","1490.8","2679.2","1518.5","1160.8","6788","5297.2","5297.2","2.8","12413","11701","2332.8","1467","7074.5","87.9","14.6","48.2","462.6","2414.6","675.2","1831.6","826.9","711.9","-2233.8","-5622.2","-2116.1","-2943"
"Mar-2017","8656.5","8563.4","6896.9","4405.2","0.7","1922.1","569","1456.3","1666.5","955.4","662.3","293.1","7608","6234.6","1373.4","1791.1","1498","293.1","6772.4","5398.9","1373.4","93.1","13093","12406.2","2966.7","1558.8","6716.8","65.9","52","52","313.1","2170.3","386.9","1708.3","1163.9","686.7","-3842.8","-6227.6","-3272.5","-4436.5"
"Dec-2016","7988","7400.3","6379.2","3761.4","0.4","1828.1","789.3","1378.2","1021.1","274.3","144.7","129.6","7126","6234.5","897","1150.1","1020.5","129.6","6838","5358.7","897","582.3","10456.1","10130.2","2321","1027.3","6241","64.9","16.9","44","243.3","2092","612.7","1728.3","541","325.8","-2730","-3035.8","-1927.1","-2468"
"Sep-2016","14700.7","9288.3","8705.7","5065.9","1.2","2837.4","801.2","2329.7","582.6","853.2","651.7","201.5","8435.1","8054","3040.1","1859.3","1657.8","201.5","12841.4","7047.9","3040.1","2753.4","16418.8","13942","2624.4","2785.3","6988.4","61.8","211.5","68.3","414","2510.6","499","1503.4","1543.9","2476.8","-4653.7","-824","-174.3","-1718.1"
