"Date","Real GDP (2012=100) Growth - Total (%)","Annual Average Percent Change in the Index of Retail Prices - Inflation Rate (%)","Unemployment Rate (%)","WTI Crude Oil Price (US$/bbl)","Henry Hub Natural Gas Price (US$/mmbtu)","Net Official Reserves (US$Mn)","Import Cover (months)","Central Government Total Revenue (TT$Mn)","Central Government Total Expenditure (TT$Mn)","Overall Fiscal Balance (TT$Mn)","Non-Energy Fiscal Balance (TT$Mn)","Gross Public Sector Debt Outstanding (TT$M)","Net Public Sector Debt Outstanding (TT$M)","Gross Public Sector Debt to GDP Ratio (%)","Net Public Sector Debt to GDP Ratio (%)","Commercial Banks - Credit to the Private Sector (TT$Mn)","Money Supply - M2 (TT$Mn)","Commercial Banks Median Basic Prime Lending Rate (end of period; %)","Repo Rate (end of period, %)"
"2019","n.d","1","n.d","57","2.6","6929","7.7","n.d","n.d","n.d","n.d","122466","107260","74.6","65.3","60938.2","89475.2","9.25","5.00"
"2018","-0.2","1","n.d","64.8","3.2","7575","8","44540.1","48720.9","-4180.8","-15143.3","124915","99270.4","76.5","60.8","58325.8","89425.8","9.25","5.00"
"2017","-2.3","1.9","4.8","50.9","3","8369.8","9.7","37223.4","48529.9","-10404","-20127.7","120567","95873.2","75.8","60.3","56046.9","86754.6","9.00","4.75"
"2016","-6.3","3.1","3.9","43.2","2.5","9465.8","10.5","41752.5","51381","-9628.5","-12632.8","119705","87886.6","79","58","53330.8","88636.2","9.00","4.75"
"2015","1.8","4.7","3.4","48.7","2.6","9933","11.2","55703.4","59516.9","-3813.4","-12465.4","109358","76655.9","72.2","50.6","51246.4","85870.5","8.93","4.75"
"2014","-0.9","5.7","3.3","93.1","4.4","11497.1","12.9","55686.2","63950.4","-8264.1","-35842.8","109222","74188","66.5","45.2","48311.2","87128.3","7.75","3.25"
"2013","2.2","5.2","3.7","97.9","3.7","10175.9","12.2","57617.8","58369.8","-752","-25060.8","94635.7","69802.5","53.6","39.5","45042.9","77034.6","7.50","2.75"
"2012","n.d","9.3","4.9","94.2","2.8","9370.7","10.6","47062","52284.2","-5222.2","-28658.1","89904.3","66890.4","51.9","38.6","43010","70821.2","7.50","2.75"
"2011","n.d","5.1","5.1","95.1","4","9982.8","13.7","50084.5","48993.5","1091","-28318.4","79048.2","55150.2","47.9","33.4","41402.3","64009.2","7.75","3.00"
"2010","n.d","10.5","5.9","79.4","4.4","9181.3","13.3","45064","43606.5","1457.4","-22195.5","70894","46946","52.9","35","38886.7","56217.7","8.38","3.75"
"2009","n.d","7","5.3","61.7","3.9","8746","12","38598","45127.8","-6529.8","-24985","n.d","n.d","n.d","n.d","38689.1","53544.4","10.25","5.25"
"2008","n.d","12","4.6","99.6","8.9","9425.4","11.6","57821.4","45974.8","11846.6","-22435.5","n.d","n.d","n.d","n.d","40452.4","42170.5","13.00","8.75"
"2007","n.d","7.9","5.5","72.3","7","6694.2","9.4","40696.6","40063.9","632.7","-18975.3","n.d","n.d","n.d","n.d","35574","37309.9","11.75","8.00"
"2006","n.d","8.3","6.2","66.1","6.7","5169.6","10.1","38558.2","31900.3","6657.8","-14453.7","n.d","n.d","n.d","n.d","29225.1","32859.9","11.75","8.00"
"2005","n.d","6.9","8","56.4","8.8","3972","n.d","31917.7","25601.9","6315.8","-9536.1","n.d","n.d","n.d","n.d","24662.2","28012.4","9.75","6.00"
"2004","n.d","3.7","8.4","41.4","5.9","2695.4","n.d","22026.3","20093.5","1932.8","-6226.6","n.d","n.d","n.d","n.d","19805.4","20841.2","8.75","5.00"
"2003","n.d","3.8","10.5","31.1","5.5","2183.7","n.d","17858.4","16023.4","1835","-5069.7","n.d","n.d","n.d","n.d","15234","18593.3","9.50","5.00"
"2002","n.d","4.2","10.4","26.1","3.4","1847.7","n.d","14555.9","14369.1","186.8","-3744.2","n.d","n.d","n.d","n.d","14690.6","17510.1","11.50","5.25"
"2001","n.d","5.5","10.8","25.9","4","1725.6","n.d","13415.5","13456.1","-40.6","-3734.2","n.d","n.d","n.d","n.d","14044.8","17199.6","14.50","n.d"
"2000","n.d","3.6","12.2","30.3","4.3","1321.9","n.d","13036.5","12217.5","819.1","-3584.5","n.d","n.d","n.d","n.d","13374.6","13964.9","16.50","n.d"
"1999","n.d","3.4","13.1","19.2","n.d","949.8","n.d","9714","11069.3","-1355.3","-3355","n.d","n.d","n.d","n.d","12028.8","13057.5","16.50","n.d"
"1998","n.d","5.6","14.2","14.4","n.d","765.5","n.d","9103","10399.4","-1296.4","-3003.3","n.d","n.d","n.d","n.d","10644.5","13008.7","17.50","n.d"
