Date,Per Cent Changes (year-on-year) in Real Economic Activity (2012 = 100),Year-on-Year Percent Change in the Index of Retail Prices (End of Period) - Inflation Rate (%),Unemployment Rate,WTI Crude Oil Price (US$/bbl),Henry Hub Natural Gas Price (US$/mmbtu),Net Official Reserves (US$Mn),Import Cover (months),Central Government Total Revenue (TT$Mn),Central Government Total Expenditure (TT$Mn),Overall Fiscal Balance (TT$Mn),Non-Energy Fiscal Balance (TT$Mn),Commercial Banks - Credit to the Private Sector (TT$Mn),Money Supply - M2 (TT$Mn),Commercial Banks Basic Prime Lending Rate (end of period; %),"Repo Rate (end of period, %)"
6/1/2020,n.d,n.d,n.d,n.d,n.d,7313.3,8.5,n.d,n.d,n.d,n.d,n.d,n.d,7.5,3.5
3/1/2020,n.d,n.d,n.d,45.9,1.9,6625.5,7.5,7487.5,12487.7,-5000.2,-6597.9,60698.1,91370.3,7.5,3.5
12/1/2019,1.4,0.4,n.d,56.9,2.4,6929,7.7,9989.9,10376.8,-386.8,-2689.3,60938.2,89475.2,9.25,5
9/1/2019,-0.1,1.1,n.d,56.4,2.4,6898.9,7.7,n.d,n.d,n.d,n.d,59736.9,88187.4,9.25,5
6/1/2019,-4.1,1.1,n.d,59.8,2.6,6993.6,7.9,9516.9,12485,-2968.1,-6238.7,59218.9,87596.3,9.25,5
3/1/2019,-3.1,1.5,n.d,54.9,2.9,7350.5,8.3,10220.7,13014.6,-2793.9,-5916,58786.6,88422,9.25,5
12/1/2018,-5.1,1,n.d,58.8,3.8,7575,8,11336.3,10393.5,942.8,-1538.5,58325.8,89425.8,9.25,5
9/1/2018,-2.6,1.1,4.6,69.7,2.9,7465.3,8.1,13011.6,13879,-867.4,-3760.4,57492.6,86504.6,9.25,5
6/1/2018,1.7,0.9,3.8,68,2.8,7816.3,8.6,10681.7,12029.5,-1347.8,-5036.1,56966.7,85802.5,9,5
3/1/2018,2.2,0.8,3.8,62.9,3.1,7987.9,9,9510.5,12418.9,-2908.4,-4808.3,56868,86389.2,9,4.75
