"Monthly  Statistics – Selected Macroeconomic and Financial Indicators",
"Country","Category","Units","Jan 2000","Feb 2000","Mar 2000","Apr 2000","May 2000","Jun 2000","Jul 2000","Aug 2000","Sep 2000","Oct 2000","Nov 2000","Dec 2000","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019"
"ANGUILLA","Central Government - Capital Expenditure","EC$M","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","0.81","1.69","9.05","2.49","2.03","2.69","3.06","6.06","2.32","2.4","3.25","1.09","0.24","1.92","0.62","0.75","0.99","0.22","1.22","1.06","0.5","0.9","1.2","0.97","0","0","0.21","0.09","0.22","0.07","0.21","0.22","0.55","0.21","0.12","1.23","0.02","0.05","0.17","0.25","0.63","0.17","1.25","0.51","0.66","2.69","2.28","0.89","0.55","1.01","0.81","0.53","0.4","0.77","1.15","0.17","0.51","1.28","1.65","0.69","0.14","0.23","0.15","0.85","1.36","0.51","1.41","1.42","0.99","0.44","0.3","0.45","0.03","0.12","0.31","0.11","0.16","0.62","0.18","0.12","0.2","0.21","0.56","0.8","0.03","0.16","0.12","0.75","0.58","0.41","1.2","0.66","0.63","0.9","0.62","1.28","0.09","0.16","0.22","0.1","1.22","0.34","0.15","0.35","0.72","1.52","1.22","0.46","0.04","1.17","0.53","0.39","1.3","1.51","0.59","0.79","0.79","3.18","7.99","3.23","0.4","1.2","0.78","0.16","0.54","0.2","1.37","3.85","3.66","8.45","1.6","3.44","0.05","0.11","0.57","0.27","0.17","0.25","0.38","0.64","1.45","","",""
"ANGUILLA","Central Government - Capital Revenue","EC$M","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","9.19","0.6","0","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"ANGUILLA","Central Government - Current Account Balance","EC$M","1.42","0.81","1.06","0.7","1.64","-0.32","-0.28","-0.1","-1.9","0","-0.2","-2.9","2.32","0.13","-0.13","1.42","-0.37","0.09","-5.56","-4.66","-5.66","-1.38","-1.85","-3.5","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","7.1","4.13","6.14","4.39","10.79","2.22","11","-2.46","-3.18","0.5","-0.82","0.2","-0.02","9.3","4.39","4.24","0.5","0.75","-1.61","-3.86","-5.27","-6.68","-2.49","-1.61","-4.15","-2.17","-2.62","-3.42","-5.8","-5.83","0.22","-5.92","-6.68","-6.19","-6.97","-4.54","-4.59","3.73","13.86","-3.73","-7.45","0.59","-5.13","-7.54","-8.57","1.45","11.34","-2.03","-0.77","3.78","0.3","-3.97","-0.97","1.25","-2.42","-2.28","36.9","-2.37","-2.75","4.52","6.93","3.1","0.07","-1.75","-1.64","1.35","1.11","-3.17","1.93","-0.9","-0.07","2.49","1.16","5.42","-0.77","0.56","-0.8","-1.75","1.58","-2.3","-3.53","-3.21","-1.34","2.62","5.56","-0.55","2.55","-0.48","1.71","-0.1","2.84","-1.85","-0.13","-2.44","-2.34","5.11","4.81","4.3","3.15","-2.74","3.02","3.25","-2.5","-4.09","-0.3","-0.45","-2.24","1.33","4.21","2.79","6.24","-2.03","-1.72","-1.49","-0.56","-0.82","-1.59","-3.1","-1.88","1.01","5.75","2.74","1.49","-0.71","10.4","-1.84","2.85","-3.83","-8.6","-2.95","-2.6","-7.38","1.51","0.08","3.18","4.32","-5.07","-1.86","5.15","3.76","-4.03","-7.25","0.01","-7.22","11.15","6.19","6.48","-1.07","3.39","0.09","6.58","1.93","-1.56","","",""
"ANGUILLA","Central Government - Current Expenditure","EC$M","4.14","4.42","4.97","3.82","6.63","6.14","7.22","6.67","6.44","6.17","6.16","8.77","4.34","6.87","7.22","5.83","6.09","6.81","6.81","6.22","6.8","6.39","6.15","8.21","5.99","7.04","7.08","6.5","7.79","7.51","8.96","5.51","6.11","6.19","6.64","5.65","5.67","7.04","5.84","8.47","6.19","6.51","8.87","5.98","6.59","6.63","6.47","8.71","6.64","7.17","7.14","7.52","7.66","7.33","8.39","7.46","9.93","7","6.35","11.33","6.46","7.41","7.45","7.77","8.09","8.79","7.71","7.67","13.56","9.67","9.2","12.09","10.84","11.23","9.86","9.34","10.91","10.16","12.53","12.5","11.81","12.8","13.5","19.74","12.21","11.47","12.52","11.75","12.52","13.82","14.02","15.26","15.11","15.44","16.35","19.9","18.07","14.63","15.69","15.14","16.18","15.85","20.81","16.18","18.3","20.88","15.75","19.27","19.01","16.02","16.74","14.5","17.1","18.04","16.77","15.8","16.9","17.5","16.3","17.71","17.1","15.12","15.68","15.84","16.2","14.09","17.64","13.84","16.1","16.86","13.78","14.01","14.34","13.51","12.99","15.11","15.1","14.3","17.04","13.51","13.02","15.54","13.81","15.59","14.52","12.29","13.41","14.96","13.22","14.48","15.49","13.44","13.52","15.7","14.68","14.7","12.95","13.16","14.15","15.9","14.82","13.51","18.43","13.29","13.36","16.13","13.96","16.12","14.45","13.12","14.42","17.48","13.73","13.3","17.8","13.81","14.1","15.49","16.31","14.15","15.25","13.94","13.4","16.29","14.97","14.09","19.91","14.6","14.5","15.48","15.55","15.55","14.33","13.73","13.24","18.61","15.38","17.47","15.93","14.38","15.65","16.14","15.03","17.75","14.72","13.97","16.8","16.6","15.59","16.61","16.87","17.68","14.53","15.7","14.88","21.4","13.89","14.53","15.6","14.58","19.77","18.23","15.18","14.31","18.06","23.95","15.46","24.08","13.46","13.37","14.97","21.98","19.39","17.34","18.14","14.14","17.23","","",""
"ANGUILLA","Central Government - Current Revenue","EC$M","5.55","5.22","6.01","4.52","8.25","5.83","6.94","6.57","4.54","6.29","5.95","5.95","6.68","7.01","7.09","7.25","5.72","6.9","6.76","6.38","4.86","5.01","4.3","4.71","7.33","5.52","6.09","7.16","6.56","5.61","7.8","5.74","6.53","7.07","5.23","13.3","7.51","6.76","7.61","7.16","6.82","6.35","8.57","6.28","6.98","5.6","6.26","9.55","8.1","7.72","9.35","9.6","6.91","9.54","10.24","9.32","12.72","7.08","15.63","11.23","8.01","10.95","11.41","10.84","9.21","10.47","10.31","11.82","11.94","8.05","12.28","11.53","12.83","17.55","20.55","15.54","14.38","15.77","15.84","13.98","12.91","13.83","12.84","15.32","19.32","15.6","18.65","16.14","23.31","16.04","25.01","12.8","11.93","15.95","15.53","20.1","18.04","23.94","20.08","19.37","16.68","16.6","19.19","12.32","13.03","14.21","13.26","17.66","14.86","13.84","14.11","11.08","11.31","12.22","16.99","9.88","10.23","11.31","9.33","13.17","12.5","10.51","15.61","12.11","8.75","14.69","12.51","6.3","7.53","18.3","25.12","11.98","13.56","17.29","13.29","11.14","14.13","15.54","14.61","11.23","49.92","13.17","11.06","20.1","21.46","15.39","13.48","13.21","11.57","15.84","16.61","10.27","15.45","14.8","14.62","17.19","14.11","18.58","13.37","16.46","14.02","11.76","20.01","10.99","9.83","12.92","12.62","18.73","20","12.58","16.97","17","15.45","13.2","20.64","11.96","13.97","13.05","13.97","19.26","20.06","18.23","16.55","13.55","17.99","17.34","17.41","10.5","14.2","15.03","13.31","16.87","18.54","16.52","19.48","16.58","13.66","15.98","15.36","13.57","14.06","13.05","13.15","18.77","20.46","16.7","18.29","15.89","25.99","14.77","19.72","13.85","5.93","12.75","12.28","14.02","15.41","14.6","18.78","18.91","14.7","16.37","20.33","18.08","14.03","16.7","15.46","16.86","24.61","19.55","21.45","20.91","22.78","17.44","24.72","16.07","15.67","","",""
"ANGUILLA","Central Government - Overall Balance","EC$M","1.42","0.81","1.06","0.7","1.64","-0.32","-0.28","-0.1","-1.9","0","-0.2","-2.9","2.32","0.13","-0.13","1.42","-0.37","0.09","-5.56","-4.66","-5.66","-1.38","-1.85","-3.5","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","17.54","8.22","-4.66","1.75","-1.53","-1.94","-4.63","-9.92","-7.59","-9.08","-5.74","-2.7","-4.38","-4.09","-3.24","-4.17","-6.79","-6.05","-1","-6.98","-7.18","-7.09","-8.17","-5.51","-4.59","3.73","13.65","-3.82","-7.67","0.52","-5.34","-7.76","-9.12","1.23","22.78","-3.26","-0.8","3.73","0.13","-4.22","-1.6","1.08","-3.67","-2.79","36.24","-5.07","-5.03","3.63","6.39","2.09","-0.74","-2.28","-2.04","0.59","-0.04","8.29","1.42","-2.17","-1.72","1.8","1.02","5.19","-0.92","-0.29","-2.16","-2.27","0.17","-3.73","-4.52","-3.65","14.08","2.16","5.53","-0.66","2.23","-0.59","1.55","-0.72","2.66","-1.88","-0.34","-2.58","10.23","5.82","4.78","4.15","3.03","-2.97","2.87","3.15","-2.7","-4.62","-0.57","-0.72","-2.53","0.07","4.17","2.65","6.02","-2.14","-2.88","-1.83","-0.72","-1.15","-1.99","-3.32","-2.51","0.55","5.73","1.57","1.54","-1.03","9.2","-3.34","2.26","-4.63","20.27","-6.05","-10.6","-10.61","1.12","-0.58","5.52","4.17","-5.41","-2","4.98","15.88","-3.61","-11.12","0.2","-7.98","11.1","6.08","5.91","-1.34","3.22","-0.15","6.2","1.29","-3.01","","",""
"ANGUILLA","Central Government - Primary Balance","EC$M","1.45","0.85","1.07","0.7","1.69","-0.22","-0.27","-0.02","-1.89","0.1","-0.2","-2.8","2.37","0.27","-0.13","1.64","-0.32","0.43","-5.46","-4.42","-5.64","-1.23","-1.76","-3.05","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","18.1","8.7","-3.96","2.3","-1.15","-1.37","-3.49","-9.5","-6.73","-8.38","-5.18","-1.62","-3.79","-3.52","-2.15","-3.4","-6.19","-4.78","-0.55","-6.63","-6.49","-6.54","-7.97","-4.36","-1.91","3.97","14.15","-2.93","-6.92","0.85","-3.17","-7.59","-7.51","2.68","22.97","-3.25","-0.19","4.35","1.21","-2.01","-1.57","1.11","-1.44","-2.68","36.34","-2.99","-5.02","3.66","8.41","2.09","-0.74","-0.22","-2.04","0.6","2.02","8.32","1.45","-0.2","-1.58","1.83","1.54","5.23","0.58","1.73","-2.11","-2.26","2.27","-3.61","-4.41","-1.37","14.17","2.43","7.66","-0.66","2.37","1.56","1.66","-0.62","4.81","-1.86","-0.17","-0.49","10.29","6.11","6.8","4.18","3.21","-0.98","2.92","3.19","-0.74","-4.57","-0.51","1.08","-2.48","0.2","5.96","2.79","6.05","-0.43","-2.83","-0.28","0.77","-0.96","-0.23","-1.79","-2.53","2.32","7.4","1.71","3.29","1.26","9.34","-1.63","4.23","-4.13","22.07","-4.03","-10.06","-8.7","3.25","-0.5","7.71","4.45","-3.3","0.03","5.41","16.12","-1.73","-3.64","0.26","-5.75","11.26","6.14","7.95","1.41","5.78","1.73","8.82","1.34","-1.05","","",""
"ANGUILLA","Central Government Credit (Net) (Countries) – Monetary Survey","EC$000s","-2,094","-2,396","-2,105","-2,301","-2,051","-866","568","1,103","3,851","1,422","3,792","11,558","9,967","9,714","10,340","10,354","11,549","11,442","11,615","12,798","13,339","13,293","15,006","19,825","20,308","19,999","21,780","20,784","22,266","22,901","22,139","24,459","23,832","23,139","25,313","19,122","18,722","19,235","19,344","18,060","18,772","19,616","21,399","23,002","8,049","7,276","10,440","12,344","12,106","11,468","10,289","10,061","15,536","15,287","8,902","10,798","23,924","26,413","25,461","36,684","42,060","44,473","47,524","46,524","46,853","46,439","48,513","47,558","49,511","52,263","51,647","53,070","53,772","46,289","39,691","38,448","37,086","34,927","34,389","36,648","42,828","46,317","37,328","22,891","19,710","22,467","22,121","20,730","15,076","30,884","21,353","29,405","43,984","51,694","48,266","58,265","49,676","43,201","47,743","36,825","36,499","48,230","44,695","47,526","57,307","63,063","76,937","71,713","63,282","68,005","70,953","68,623","68,288","79,452","79,710","88,880","94,759","99,431","131,016","129,300","132,123","120,342","106,691","94,822","69,573","77,437","71,121","-64,971","-25,066","-25,840","-52,407","-46,870","-42,018","-43,668","-46,052","-37,553","-35,213","-34,610","-34,249","-27,511","-64,434","-58,230","-52,120","-54,319","-59,722","-60,866","-62,368","-59,554","-56,740","-59,359","-58,699","-60,265","-61,723","-62,760","-63,144","-57,815","-59,382","-63,415","-64,576","-63,549","-59,465","-57,771","-59,366","-50,198","-46,589","-42,858","-56,379","-65,947","-66,940","-67,358","-66,368","-69,178","-66,731","-66,993","-73,130","-69,326","-67,369","-63,551","-71,732","-74,516","-81,228","-85,009","-86,940","-86,633","-86,188","-85,747","-84,918","-80,415","-75,972","-71,713","-65,997","-64,952","-65,418","-67,229","-72,579","-63,099","-47,147","-45,902","-37,218","-33,026","-29,916","-18,580","-15,481","-76,606","-75,519","-76,043","-73,347","-68,379","-78,742","-79,468","-71,920","-70,181","-96,631","-86,371","-77,154","-73,618","-65,050","-61,828","-67,557","-69,745","-65,658","-63,036","-64,284","-33,089","-26,040","-46,965","-44,962","-35,714","-51,485","-60,372","-62,029","-55,190","-60,757","-61,990","-60,867","-61,847","-61,188","-49,498","-63,715","-60,717"
"ANGUILLA","Currency with the Public","EC$000s","7,618","7,315","7,152","7,234","8,190","8,022","7,909","7,166","8,250","7,236","6,916","8,762","7,851","7,707","7,699","8,170","7,617","8,120","7,463","7,447","8,719","8,500","8,588","8,977","7,900","7,443","7,470","7,773","7,704","7,991","7,960","8,513","7,957","7,283","7,606","8,246","7,868","8,178","7,941","8,486","8,709","8,461","8,496","9,047","8,553","9,161","8,553","8,976","9,446","9,340","9,270","9,793","10,243","9,785","9,022","7,931","7,712","7,263","7,573","9,513","9,035","8,769","8,216","8,839","9,322","8,792","9,880","9,089","9,449","9,494","9,098","9,579","9,468","9,784","9,672","10,595","11,151","12,010","12,280","11,883","13,013","12,249","11,314","13,524","12,690","11,244","13,412","14,208","14,001","13,573","13,234","13,852","13,384","12,654","12,857","12,440","11,529","11,695","10,821","11,234","12,207","13,087","14,244","14,721","14,277","14,903","16,451","15,386","12,835","12,660","10,382","12,679","12,751","12,323","12,873","12,532","12,919","13,748","14,978","16,402","14,660","14,843","13,569","12,174","10,632","10,456","11,121","10,519","10,344","10,936","11,127","11,622","11,749","13,190","12,951","13,569","9,575","9,334","10,008","9,909","10,652","10,775","10,651","11,221","11,634","11,864","12,435","12,772","9,226","9,543","9,324","10,356","10,620","10,038","10,944","11,186","10,941","10,499","10,854","10,109","10,521","12,265","12,814","12,472","12,458","11,326","12,488","12,207","13,119","13,669","13,190","12,273","12,550","12,204","12,012","12,578","11,912","11,572","11,839","12,305","12,715","12,963","12,588","13,724","13,550","14,173","15,983","16,648","16,222","17,064","16,911","17,378","18,068","17,281","17,397","17,864","18,403","18,812","19,566","17,549","20,325","19,786","19,048","19,975","20,225","20,679","21,019","21,796","21,159","20,633","20,911","21,307","22,218","22,256","20,575","22,394","21,683","21,095","22,127","21,928","23,054","24,116","25,729","26,225","25,905","26,354","24,891","25,266","27,039","27,340","27,597","26,978","28,754","29,316","28,792","26,312","27,417","27,579","28,996","30,233"
"ANGUILLA","Domestic Credit – Monetary Survey","EC$000s","315,418","319,638","315,539","318,366","332,765","344,581","349,536","358,113","362,787","369,654","381,151","393,205","393,623","391,148","395,330","394,188","398,438","401,447","405,572","412,572","416,290","417,692","421,045","424,623","426,630","426,981","427,966","427,354","430,142","433,217","432,829","439,810","432,049","439,602","440,393","437,716","434,721","435,669","433,667","433,091","444,430","446,561","411,748","431,426","471,568","484,929","490,902","495,539","499,441","498,791","499,448","509,987","516,144","521,595","531,295","530,689","549,561","554,651","551,013","565,510","578,013","576,710","571,780","581,550","584,411","591,198","597,555","606,493","637,269","646,264","671,781","686,067","693,030","694,316","655,678","663,017","665,704","701,094","710,587","735,910","743,297","768,079","774,937","780,736","790,581","812,284","825,230","831,390","868,688","912,949","933,650","968,514","1,003,999","1,033,154","1,063,181","1,093,609","1,101,061","1,116,804","1,135,123","1,156,140","1,190,654","1,215,817","1,234,921","1,272,866","1,298,886","1,326,468","1,347,351","1,299,372","1,286,520","1,297,439","1,321,275","1,320,024","1,321,834","1,338,153","1,341,720","1,358,733","1,363,654","1,368,770","1,378,028","1,376,387","1,376,210","1,363,582","1,389,108","1,378,363","1,386,647","1,395,496","1,392,467","1,248,161","1,243,617","1,232,829","1,232,543","1,231,919","1,244,117","1,231,992","1,226,479","1,220,531","1,220,816","1,224,980","1,224,811","1,231,262","1,196,014","1,200,056","1,197,035","1,199,034","1,177,101","1,167,524","1,160,618","1,158,737","1,164,468","1,168,139","1,157,960","1,154,037","1,152,146","1,132,139","1,125,566","1,123,553","1,115,048","1,111,498","1,115,232","1,089,864","1,087,965","1,092,412","1,088,452","1,086,755","1,084,829","1,096,294","1,072,944","1,053,112","1,044,633","1,039,092","1,016,904","1,013,636","1,012,052","1,006,881","1,006,484","1,007,666","1,003,469","1,009,555","995,157","983,294","955,384","943,730","939,120","936,039","921,760","936,357","921,720","922,809","929,256","927,233","927,540","934,131","926,996","897,870","882,937","613,020","620,971","589,354","573,808","575,219","579,299","590,414","594,105","532,009","521,921","520,045","517,736","521,071","506,849","555,532","560,239","554,533","529,434","533,811","539,954","541,512","538,672","540,427","529,206","525,085","524,456","519,042","516,974","546,922","553,757","528,119","528,001","533,290","525,825","488,787","492,103","494,013","485,305","481,855","465,468","463,303","464,304","473,678","496,977","526,781"
