Country,Category,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ANGUILLA,Excursionists,No.,"68,680","57,030","67,149","62,367","66,801","81,102","94,283","86,415","59,578","54,224","56,718","57,775","64,693","82,235","105,853","112,836","96,731","80,396","32,812","70,976",n.a.
ANGUILLA,Stay-over Visitors - Other Countries,No.,"7,824","6,429","3,929","4,658","6,360","6,196","6,874","9,292","7,444","5,915","5,962","6,059","6,832","6,733","7,577","7,337","8,827","7,873","6,005","10,497",n.a.
ANGUILLA,Stay-over Visitors - USA,No.,"24,799","30,099","28,755","30,644","35,751","41,733","44,489","45,974","40,202","34,073","38,882","42,829","41,795","45,510","45,446","47,248","50,508","43,327","30,634","63,236",n.a.
ANGUILLA,Stay-over Visitors – Canada,No.,"1,512","1,258","1,301","1,289","1,549","1,792","1,977","2,393","2,074","2,032","2,403","2,823","3,291","3,575","3,709","3,397","3,501","2,819","2,047","4,113",n.a.
ANGUILLA,Stay-over Visitors – Caribbean,No.,"6,816","7,369","7,455","7,362","7,129","8,529","15,278","15,425","14,748","12,924","11,837","10,954","10,181","10,454","11,445","12,497","13,435","10,932","13,072","13,452",n.a.
ANGUILLA,Stay-over Visitors – UK,No.,"2,786","2,789","2,529","2,962","3,198","3,834","4,344","4,568","3,816","2,947","2,914","3,118","2,599","2,796","2,750","2,753","2,968","3,303","2,775","4,077",n.a.
ANGUILLA,Total Stay-over Visitors,No.,"43,737","47,944","43,969","46,915","53,987","62,084","72,962","77,652","68,284","57,891","61,998","65,783","64,698","69,068","70,927","73,232","79,239","68,254","54,533","95,375",n.a.
ANGUILLA,Total Visitor Expenditure - EC$m,EC$M,149.27,164.69,149.05,173.93,167.51,232.01,289.3,310.4,294.36,253.15,268.38,301.7,304.52,331.56,346.08,346.09,355.46,371.71,291.35,440.75,n.a.
ANGUILLA,Total Visitors,No.,"112,417","104,974","111,118","109,282","120,788","143,186","167,245","164,067","127,862","112,115","118,716","123,558","129,391","151,303","176,780","186,068","175,970","148,650","87,345","166,351",n.a.
ANTIGUA AND BARBUDA,Cruise Ship Passengers,No.,"428,791","408,812","312,241","385,686","522,753","466,851","471,623","672,788","596,120","709,795","557,030","604,506","567,707","533,280","525,349","636,458","608,503","792,861","794,604","734,002",n.a.
ANTIGUA AND BARBUDA,Number of cruise ship calls,No.,328,271,217,296,375,321,352,380,317,367,304,328,333,321,315,339,313,424,416,385,n.a.
ANTIGUA AND BARBUDA,Number of yacht calls,No.,"2,575","2,647","3,541","3,672","3,870","4,123","4,064","4,249","3,671","3,761","4,078","3,180","3,803","3,825","3,774","3,941","3,996","4,411","3,844","3,918",n.a.
ANTIGUA AND BARBUDA,Stay-over Visitors - Other Countries,No.,"24,476","18,116","17,449","21,458","18,777","19,951","21,561","25,491","26,155","24,598","26,399","27,025","25,601","23,866","24,808","24,213","24,929","25,353","23,898","28,908",n.a.
ANTIGUA AND BARBUDA,Stay-over Visitors - USA,No.,"59,012","60,176","60,679","64,363","70,534","68,527","73,497","78,698","84,032","82,068","81,598","84,832","93,214","88,619","95,332","94,617","108,652","96,347","104,103","123,553",n.a.
ANTIGUA AND BARBUDA,Stay-over Visitors – Canada,No.,"14,007","12,839","10,184","8,603","9,452","9,855","10,053","10,489","13,189","12,947","17,818","22,403","24,185","30,235","27,701","23,270","21,196","22,932","38,087","37,225",n.a.
ANTIGUA AND BARBUDA,Stay-over Visitors – Caribbean,No.,"34,419","34,260","37,372","46,161","48,933","54,533","59,004","50,323","52,954","41,546","37,505","37,887","35,249","31,645","30,282","30,460","33,898","31,978","32,254","34,468",n.a.
ANTIGUA AND BARBUDA,Stay-over Visitors – UK,No.,"74,957","67,785","72,401","83,447","98,101","92,518","89,564","96,801","89,514","73,251","66,623","69,184","68,677","68,854","71,193","77,890","76,512","70,701","70,607","76,836",n.a.
ANTIGUA AND BARBUDA,Total Stay-over Visitors,No.,"230,014","214,787","218,399","245,767","267,967","245,384","253,679","261,802","265,844","234,410","229,943","241,331","246,926","243,219","249,316","250,450","265,187","247,311","268,949","300,990",n.a.
ANTIGUA AND BARBUDA,Total Visitor Expenditure - EC$m,EC$M,688.74,643.78,651.86,739.93,819.34,846,867.33,912.28,901.71,823.81,803.9,841.77,"1,485.97","1,483.90","1,610.26","1,592.52","1,708.25","1,638.68","1,730.67","1,978.38",n.a.
ANTIGUA AND BARBUDA,Total Visitors,No.,"676,161","641,434","554,491","656,022","815,627","738,059","746,833","959,312","887,877","965,431","812,859","870,240","842,693","805,552","792,587","905,674","891,427","1,059,715","1,082,408","1,054,066",n.a.
