Country,ANGUILLA,ANTIGUA AND BARBUDA,THE COMMONWEALTH OF DOMINICA,GRENADA,MONTSERRAT,ST. KITTS AND NEVIS,SAINT LUCIA,ST. VINCENT AND THE GRENADINES,ECCU
1/1/2000,"3,601","17,382","5,022","10,791",791,"6,429","22,556","5,364","71,936"
2/1/2000,"4,414","20,521","5,036","11,776",774,"6,739","24,493","5,786","79,539"
3/1/2000,"4,777","21,371","7,462","12,284",822,"6,393","25,167","6,062","84,338"
4/1/2000,"4,821","22,582","6,436","13,094",881,"5,217","26,437","7,600","87,068"
5/1/2000,"3,693","16,031","4,636","8,456",643,"4,155","24,112","4,510","66,236"
6/1/2000,"3,390","15,465","5,177","8,418",808,"4,786","20,533","5,798","64,375"
7/1/2000,"3,826","17,689","8,627","12,918","1,140","6,583","26,067","9,022","85,872"
8/1/2000,"3,498","16,144","7,289","14,012",839,"8,685","22,617","6,838","79,922"
9/1/2000,"1,031","10,411","3,059","6,491",658,"3,476","14,500","3,286","42,912"
10/1/2000,"1,650","13,834","6,553","7,890",516,"5,159","21,173","4,029","60,804"
11/1/2000,"3,536","16,686","3,902","9,299",755,"7,380","20,364","5,828","67,750"
12/1/2000,"5,500","18,755","6,397","11,232","1,651","7,811","21,831","8,771","81,948"
1/1/2020,"4,504","19,212","4,847","12,189",691,"6,148","30,578","5,761","83,930"
2/1/2020,"5,552","18,805","6,961","11,250",602,"5,117","26,019","5,048","79,354"
3/1/2020,"5,594","20,601","5,118","11,723",892,"5,550","26,563","5,196","81,237"
4/1/2020,"6,053","21,197","5,693","11,177",926,"9,124","27,504","6,125","87,799"
5/1/2020,"3,965","14,206","4,785","10,492",597,"4,942","22,881","7,503","69,371"
6/1/2020,"3,498","14,404","5,271","8,522",908,"6,375","16,637","5,766","61,381"
7/1/2020,"4,295","15,163","8,292","11,143",966,"5,773","20,840","8,630","75,102"
8/1/2020,"4,016","16,001","5,747","14,083",924,"5,399","17,454","7,092","70,716"
9/1/2020,907,"9,718","3,373","5,577",515,"3,537","12,677","2,617","38,921"
10/1/2020,"1,596","12,364","6,302","6,442",544,"4,386","13,837","3,713","49,184"
11/1/2020,"3,290","15,061","4,043","8,561",710,"4,911","16,936","4,569","58,081"
12/1/2020,"4,674","16,444","5,963","10,326","1,525","8,974","18,662","8,666","75,234"
1/2/2020,"3,868","17,664","5,019","10,802",838,"5,611","22,841","5,486","72,129"
2/2/2020,"4,677","18,163","6,921","9,594",664,"7,287","23,835","5,614","76,755"
3/2/2020,"5,702","21,064","5,799","11,791",976,"6,521","24,570","8,452","84,875"
4/2/2020,"4,472","17,972","4,387","8,857",548,"5,951","26,483","5,693","74,363"
5/2/2020,"3,783","15,665","5,486","8,390",645,"4,743","22,585","5,081","66,378"
6/2/2020,"2,997","13,411","4,766","7,802",640,"5,938","18,745","6,043","60,342"
7/2/2020,"3,771","16,997","7,277","12,001",972,"6,299","22,001","11,378","80,696"
8/2/2020,"3,536","15,696","7,610","15,834",770,"6,249","20,165","6,843","76,703"
9/2/2020,787,"11,063","3,477","6,435",479,"3,936","14,204","3,373","43,754"
10/2/2020,"1,619","13,999","5,669","8,338",369,"4,791","18,806","5,087","58,678"
11/2/2020,"3,786","17,771","5,849","9,032",643,"4,809","19,578","5,175","66,643"
12/2/2020,"4,971","18,620","6,933","12,198","2,079","6,863","19,650","9,397","80,711"
1/3/2020,"4,018","19,609","5,118","10,800",527,"5,526","24,930","5,417","75,945"
2/3/2020,"4,501","18,988","6,222","10,729",457,"6,408","21,875","4,009","73,189"
3/3/2020,"4,930","19,516","6,324","11,110",768,"7,115","23,387","6,175","79,325"
4/3/2020,"4,787","20,485","6,038","11,732",628,"7,492","27,993","6,987","86,142"
5/3/2020,"3,915","19,378","5,519","7,734",462,"6,515","25,372","5,549","74,444"
6/3/2020,"3,373","16,711","5,335","9,784",733,"9,373","22,504","7,077","74,890"
7/3/2020,"4,542","20,106","8,149","14,645",710,"9,569","26,228","10,106","94,055"
8/3/2020,"3,856","19,932","7,089","16,373",706,"7,945","24,632","8,142","88,675"
9/3/2020,967,"11,746","4,084","7,679",473,"4,743","17,392","3,473","50,557"
10/3/2020,"1,712","15,954","7,972","9,676",541,"6,073","19,448","5,238","66,614"
11/3/2020,"4,541","18,357","4,605","10,171",612,"8,101","20,665","5,508","72,560"
12/3/2020,"5,773","23,250","6,736","13,291","1,797","11,702","22,522","10,854","95,925"
1/4/2020,"4,580","22,222","5,743","11,748",596,"10,080","21,532","6,038","82,539"
2/4/2020,"5,563","23,322","7,175","12,022",634,"13,093","25,766","6,394","93,969"
3/4/2020,"5,846","23,596","4,652","11,616",910,"12,385","24,977","5,165","89,147"
4/4/2020,"6,005","27,970","6,726","14,413",822,"12,941","30,131","8,307","107,315"
5/4/2020,"5,130","18,557","6,751","10,100",683,"9,624","26,196","6,891","83,932"
6/4/2020,"4,001","16,970","5,479","9,132",656,"11,809","21,991","7,249","77,287"
7/4/2020,"5,485","22,971","9,073","16,222",931,"11,972","29,926","10,822","107,402"
8/4/2020,"4,246","18,124","8,227","16,223",753,"6,842","28,079","8,790","91,284"
9/4/2020,"1,178","13,023","4,475","6,556",545,"3,856","17,748","3,425","50,806"
10/4/2020,"1,494","16,568","9,127","6,425",547,"7,202","22,065","5,379","68,807"
11/4/2020,"4,410","18,551","4,962","5,995",653,"7,019","23,214","6,621","71,425"
12/4/2020,"6,049","23,923","7,697","7,467","2,402","10,815","26,806","11,640","96,799"
1/5/2020,"5,430","24,918","6,208","9,260",656,"13,079","25,997","7,963","93,511"
2/5/2020,"6,208","23,738","7,087","8,173",652,"13,528","27,229","7,515","94,130"
3/5/2020,"6,997","26,979","6,938","8,852",970,"13,106","30,320","9,764","103,926"
4/5/2020,"6,117","24,562","5,903","7,481",693,"13,509","38,901","7,255","104,421"
5/5/2020,"5,588","18,218","6,500","7,013",706,"10,763","28,469","6,670","83,927"
6/5/2020,"4,766","16,276","5,353","7,115",737,"14,797","20,753","7,444","77,241"
7/5/2020,"6,093","21,421","8,635","9,838","1,040","16,352","28,839","11,514","103,732"
8/5/2020,"4,460","18,049","7,466","10,614",580,"11,045","26,723","8,871","87,808"
9/5/2020,"1,525","12,014","4,030","5,299",464,"7,163","16,131","4,191","50,817"
10/5/2020,"2,093","17,936","8,605","6,886",495,"9,109","23,658","6,271","75,053"
11/5/2020,"5,708","18,389","4,523","7,780",526,"10,534","23,718","6,400","77,578"
12/5/2020,"7,099","22,884","8,010","10,237","2,171","15,866","27,959","11,646","105,872"
1/6/2020,"6,042","22,941","5,431","11,887",592,"15,540","25,215","7,943","95,591"
2/6/2020,"6,681","24,815","8,302","10,490",614,"15,221","28,619","7,404","102,146"
3/6/2020,"7,718","26,410","5,456","10,903",958,"16,131","27,832","9,345","104,753"
4/6/2020,"8,392","25,523","7,778","11,013",656,"16,755","29,024","10,581","109,722"
5/6/2020,"6,466","19,698","6,484","7,656",501,"11,733","28,055","6,359","86,952"
6/6/2020,"5,845","17,779","5,400","7,468",478,"13,705","21,760","8,470","80,905"
7/6/2020,"6,588","22,764","9,935","10,868",652,"12,371","30,453","11,373","105,004"
8/6/2020,"6,086","20,757","7,899","14,816",573,"8,823","26,538","8,316","93,808"
9/6/2020,"2,196","12,893","4,387","5,835",318,"6,676","16,347","3,951","52,603"
10/6/2020,"2,513","16,744","9,451","7,415",380,"8,467","20,453","5,039","70,462"
11/6/2020,"6,268","19,368","4,838","8,154",508,"9,773","21,153","6,789","76,851"
12/6/2020,"8,167","23,987","8,680","12,148","1,761","12,252","27,061","11,862","105,918"
1/7/2020,"7,411","22,601","5,677","12,514",575,"12,248","21,887","8,406","91,319"
2/7/2020,"7,668","23,325","8,509","10,890",507,"10,349","24,610","8,381","94,239"
3/7/2020,"9,895","29,441","5,565","10,027",844,"14,613","26,573","9,461","106,419"
